Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,2267,36
102931488739,Platforma Obywatelska,Platforma Obywatelska,2188,9
182038191908977,Cyfryzacja KPRM,Kancelaria Prezesa Rady Ministrów,1988,27
57544755889,Amnesty International Polska,Amnesty International Polska,1676,52
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Iam4u.pl,1526,111
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,1420,14
136884656519145,IOM Poland,International Organization for Migration,1253,9
102811109411234,Do:łącz,Dołącz,1236,5
108675458379147,Liczy się energia,Liczy się energia,1129,2
339855706171439,Dobra Fabryka,Dobra Fabryka,919,12
513969188677442,Compassion Polska,Compassion Polska,906,19
50063176484,TVN24,TVN,745,17
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,693,10
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,644,5
228168274881,wysokieobcasy,wysokieobcasy,608,8
104921858016507,Dzień Dobry Podatki,Michał Wilk,553,16
107898832590939,European Commission,European Commission,550,4
1683534065241470,OKO.press,OKO.press,535,35
108301418501661,Odszkodowania Za Represje 1944-1989,Łukasz Świątek,487,11
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,462,6
199739460042641,Zdrowie w stylu LUX MED,Zdrowie w stylu LUX MED,414,2
1227194230675141,Pratia,Pratia SA,390,9
203627442993022,Portal Oświatowy,Wiedza i Praktyka,389,6
32104614789,Greenpeace Polska,Greenpeace Polska,388,2
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,381,3
1480642642217482,Marcin Dmowski,Marcin Antoni Dmowski,342,2
145040892212618,Ministerstwo Obrony Narodowej,Ministerstwo Obrony Narodowej,342,1
178362315106,European Parliament,European Parliament,334,18
173086948664,Infor.pl,Infor.pl,320,15
311766890555,Fundacja Batorego,Fundacja Batorego,313,24
514735281965536,Demagog,Stowarzyszenie Demagog,304,10
286672948180163,Tomasz Trela,Poseł Tomasz Trela,298,3
295161506338,AKADEMIA PRZYSZŁOŚCI,Stowarzyszenie Wiosna,292,6
475584852475176,Pozytron,Bartłomiej Jan Ginter,287,8
1756392918011290,Poleco - Targi Ochrony Środowiska,Grupa MTP,255,3
391098174296294,Super Express,se.pl,250,6
131511477684330,Znak Horyzont,Społeczny Instytut Wydawniczy Znak sp. z o.o.,249,17
1493760307522390,CityFit,CityFit,249,3
101510036210805,Centrum Interwencji Kryzysowej w Łodzi,Centrum Promocji i Rozwoju Inicjatyw Obywatelskich OPUS,242,2
406758116099067,Fundacja Kasisi,Fundacja Kasisi,240,3
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,236,7
111993840665768,Stowarzyszenie Kultury Chrześcijańskiej im. Ks. Piotra Skargi,Stowarzyszenie Ks. Piotra Skargi,230,5
395533923834784,PSL Mazowsze,Zarząd Wojewódzki Polskiego Stronnictwa Ludowego Województwa Mazowieckiego,218,22
133482470024453,Newsweek Polska,Newsweek Polska,207,3
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,203,2
307132666893918,Fundacja Głosuj na Kobietę,Głosuj na Prawa Kobiet,202,12
114337719936632,Marszałek Artur Kosicki,Marszałek Artur Kosicki,200,1
230754547069436,Michał Woś,Michał Woś Poseł na Sejm RP,199,1
178415208919146,Solidarna Polska,Solidarna Polska,195,2
110554885250920,Postawmy na młodzież,Stowarzyszenie Projekt Poznań,194,14
110647840532680,Merge Mayor,These ads ran without a disclaimer,184,1
229797220398331,Kampania Przeciw Homofobii,Kampania Przeciw Homofobii with Facebook ad credits,177,6
256314858405394,Paweł Olszewski,Paweł Olszewski,172,2
199877710116314,Patryk Jaki,Patryk Jaki,170,2
273827962690526,Otwarte Klatki,Otwarte Klatki,166,9
149902472546,Wyborcza.pl Trójmiasto,Wyborcza.pl Trójmiasto,166,6
257593184447834,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz,165,4
353030510177,Centrum Nauki Kopernik,Centrum Nauki Kopernik,165,3
662892093824152,Fundacja Małych Stópek,Fundacja Małych Stópek,157,8
108006762199271,Renta Wdowia,Renta Wdowia,156,3
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,153,7
228366267271894,Warsaw Enterprise Institute,Fundacja Warsaw Enterprise Institute,150,3
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,150,8
405326618416,Parlament Europejski - Biuro w Polsce,Parlament Europejski - Biuro w Polsce,149,1
108567461681538,"Polska Katolicka, nie Laicka",Fundacja Instytut Edukacji Społecznej i Religijnej im. Ks. Piotra Skargi,147,4
111536078074010,Strefa Logopedy,Wiedza i Praktyka,146,2
101231981264335,Arkadiusz Iwaniak Poseł na Sejm RP,Biuro Poselskie Arkadiusza Iwaniak,143,1
362731483842344,Agro Trust - Skup i  #𝐖𝐢𝐚𝐝𝐨𝐦𝐨ś𝐜𝐢𝐙𝐛𝐨ż𝐨𝐰𝐞,Marcin Robert Witzling,141,1
305401181544,UNICEF Poland,UNICEF Polska,136,3
385532321805330,Pomorskie,Pomorskie,133,2
142218132483199,Kasa Stefczyka,Kasa Stefczyka,131,2
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,130,8
260985984776592,Stowarzyszenie Nasz Park,Stowarzyszenie Nasz Park,129,1
198175440197828,McDonald's,These ads ran without a disclaimer,122,1
177473808919,Polskie Stronnictwo Ludowe,Polskie Stronnictwo Ludowe,121,3
1477251852486946,Kosma Złotowski,Grupa Europejskich Konserwatystów i Reformatorów,120,4
312816688890250,Dariusz Matecki,Dariusz Matecki Radny Miasta Szczecin,118,2
101565245066684,Instytut Prawa Społecznego,Instytut Prawa Społecznego,117,1
130220166122,Kupuj odpowiedzialnie,Kupuj odpowiedzialnie,117,7
