Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,221,2
486723854867439,MYUPP,United Progressive Party,197,5
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),178,5
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),≤100,7
116032046892777,UPP All Saints East and St. Luke's Constituency Branch,United Progressive Party,≤100,1
220849685513413,Antigua Breaking News,Antigua Breaking News,≤100,3
109407040848704,Sean Bird,United Progressive Party,≤100,1
44846920403,Dean,Athill Dean Jonas,≤100,2
102389305793337,Anthony Stuart,Democratic National Alliance,≤100,7
698379307000668,Democratic National Alliance - Antigua and Barbuda,Democratic National Alliance,≤100,1
108465098593385,Mario Thomas,Democratic National Alliance,≤100,1
111347180673351,Anthony Smith Jr.,Anthony Smith,≤100,1
104015742220554,Mimic,These ads ran without a disclaimer,≤100,1
108584015345460,Antigua News,These ads ran without a disclaimer,≤100,1
