Location name,Amount spent (NGN)
Abia State,4742
Adamawa State,2983
Akwa Ibom State,4979
Anambra State,5663
Bauchi State,2645
Bayelsa State,2224
Benué State,2395
Borno State,2342
Cross River State,10611
Delta State,7117
Ebonyi State,816
Edo State,5325
Ekiti State,1011
Enugu State,16628
Federal Capital Territory,17564
Gombe State,5757
Imo State,5824
Jigawa State,394
Kaduna State,8844
Kano State,18005
Katsina State,1951
Kebbi State,2329
Kogi State,2098
Kwara State,3991
Lagos State,181735
Nasarawa State,1552
Niger State,4089
Ogun State,3688
Ondo State,1731
Osun State,2166
Oyo State,10092
Plateau State,17218
Rivers State,19290
Sokoto State,1634
Taraba State,1314
Unknown,≤100
Yobe State,1192
Zamfara State,627
