Location name,Amount spent (NGN)
Abia State,1452
Adamawa State,570
Akwa Ibom State,1480
Anambra State,761
Bauchi State,337
Bayelsa State,407
Benué State,1701
Borno State,305
Cross River State,427
Delta State,1554
Ebonyi State,1223
Edo State,666
Ekiti State,332
Enugu State,1130
Federal Capital Territory,5881
Gombe State,748
Imo State,800
Jigawa State,111
Kaduna State,2219
Kano State,2483
Katsina State,428
Kebbi State,≤100
Kogi State,2794
Kwara State,961
Lagos State,11251
Nasarawa State,379
Niger State,890
Ogun State,406
Ondo State,527
Osun State,484
Oyo State,1670
Plateau State,1709
Rivers State,3152
Sokoto State,238
Taraba State,221
Unknown,≤100
Yobe State,159
Zamfara State,164
