Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
119241174807079,NTUC LearningHub,NTUC LearningHub,1457,8
103944372988172,Singapore Ministry of Manpower,Singapore Ministry of Manpower,1045,4
109555293685,Gov.sg,Gov.sg,550,4
168071043252655,Pro Enterprise Panel - PEP,"Pro-Enterprise Panel, Ministry of Trade & Industry",416,2
215341045518389,GIC,GIC,253,8
219541704832846,National Reading Movement,National Reading Movement,240,2
168442899846653,Ministry of Finance (Singapore),Ministry of Finance (Singapore),190,3
160823460655497,Lianhe Zaobao 联合早报,Lianhe Zaobao 联合早报,171,26
200480966638039,Supremacy 1914,These ads ran without a disclaimer,169,3
453961014813944,UOB,UOB,108,1
129011692114,The Straits Times,The Straits Times,103,1
349837171746401,Ministry of Trade & Industry,"Ministry of Trade and Industry, Singapore",≤100,4
365481993536188,TAFEP Tripartite Alliance for Fair and Progressive Employment Practices,TAFEP,≤100,1
499886730606,National Youth Council Singapore,National Youth Council Singapore,≤100,2
113310782027160,UFM100.3,Nur Ashiqin Binti Jaffar,≤100,3
110667314191574,一点通 Yi Dian Tong,These ads ran without a disclaimer,≤100,1
101963408923046,Real Estate Insight,Sim Hanwen,≤100,4
402331100146761,QuickHR,These ads ran without a disclaimer,≤100,1
126996258015076,Global Ehsan Relief Singapore,Global Ehsan Relief Singapore,≤100,6
136982159795537,Institute of Policy Studies - IPS,Institute of Policy Studies,≤100,1
467260466759436,Global Ehsan Relief,Global Ehsan Relief,≤100,2
1389010631425852,World Scientific Singapore,World Scientific Publishing Co. Pte Ltd,≤100,6
256953359544240,ExxonMobil Singapore,ExxonMobil,≤100,8
150473311640966,Infobip,These ads ran without a disclaimer,≤100,1
823788047675556,Call of War,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
1468082613467781,Nee Soon Town Council,Nee Soon Town Council,≤100,3
836689413097228,Our Grandfather Story,Our Grandfather Story,≤100,1
105193687974134,TWC2 Tamil,Transient Workers Count Too - TWC2,≤100,1
106776630689061,Prabu Ramachandran addresses Real Issues in Singapore,Prabu Ramachandran,≤100,2
104722881948670,MiRXES,These ads ran without a disclaimer,≤100,2
106894858726624,Save the Children International,These ads ran without a disclaimer,≤100,1
112394015110450,Rickandcrypto,These ads ran without a disclaimer,≤100,1
105640164784251,Singapore United Party,Zhu Laicheng,≤100,1
125279958350,GIVE.asia,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
107409257586175,Archel Advisory,These ads ran without a disclaimer,≤100,2
169966639701018,Nanyang Business School Alumni Network,These ads ran without a disclaimer,≤100,1
100247939239154,I love Gusu,These ads ran without a disclaimer,≤100,1
101377855512363,Past Chronicles,These ads ran without a disclaimer,≤100,1
155677885272,RFI 华语 - 法国国际广播电台,These ads ran without a disclaimer,≤100,1
191399134327652,aramco,These ads ran without a disclaimer,≤100,1
109675554729636,photopado,These ads ran without a disclaimer,≤100,1
103128059291677,Saaraba,These ads ran without a disclaimer,≤100,2
109098014970060,Nature,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,1
177706515594669,Azimut Yachts,These ads ran without a disclaimer,≤100,1
104118078998160,Buuisae-DF,These ads ran without a disclaimer,≤100,1
1521063928130154,Nanyang Business School,These ads ran without a disclaimer,≤100,1
106519561376463,The Primary Market - Lifestyle,These ads ran without a disclaimer,≤100,1
