Location name,Amount spent (NGN)
Abia State,6682
Adamawa State,4826
Akwa Ibom State,8218
Anambra State,6364
Bauchi State,4231
Bayelsa State,907
Benué State,1314
Borno State,5590
Cross River State,1552
Delta State,2477
Ebonyi State,1694
Edo State,3915
Ekiti State,469
Enugu State,2465
Federal Capital Territory,20828
Gombe State,3617
Imo State,1475
Jigawa State,1664
Kaduna State,16397
Kano State,27662
Katsina State,3076
Kebbi State,1391
Kogi State,991
Kwara State,9213
Lagos State,159853
Nasarawa State,3136
Niger State,2768
Ogun State,1755
Ondo State,1281
Osun State,1760
Oyo State,5143
Plateau State,6757
Rivers State,8812
Sokoto State,4297
Taraba State,851
Unknown,≤100
Yobe State,751
Zamfara State,662
