Page ID,Page name,Disclaimer,Amount spent (MXN),Number of ads in Library
384214801745089,Samuel García,Samuel García,50697,19
153947391339205,Manolo Jiménez Salinas,MANOLO JIMENEZ SALINAS,35129,34
122166991148783,ICV-NL,ICVNL,33633,3
923633637651202,Morena Sí,Morena Sí,27189,64
428885987164769,Morena Ciudad de México,morenaciudaddemexico.org,20304,8
292073374782474,Gobierno de Tlalnepantla de Baz,Municipio de Tlalnepantla,15486,14
1333701376650032,Que siga López,Que siga Lopez,14973,16
209770450386,El Gobierno de Nuevo León,Gobierno del Estado de Nuevo León,14344,4
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,14020,6
186073704903313,México elige,México Elige,13708,30
449095701815347,Salvador Zamora,Salvador Zamora,12410,5
162949857103721,Gobierno Colima,Gobierno Colima,11133,20
103451872329701,Salvemos Miles de Vidas México,Juan Antonio Loredo Velasco,9555,15
493453457351145,Coparmex Nacional,Coparmex Nacional,9185,30
100557755099985,Convocatorias 2023,Convocatorias 2023,9183,31
109634395756375,Save the Children México,Save the Children México,8559,17
261548570655865,Juan Angel Flores Bustamante,Juan Ángel Flores Bustamante,7979,3
56713285274,Greenpeace México,Greenpeace México,7534,18
234934546961166,Escudo Urbano C5 Jalisco,Escudo Urbano C5 Jalisco,6869,3
958104594263358,Alcaldía Cuajimalpa de Morelos,Alcaldía Cuajimalpa de Morelos,6849,45
317044798793227,Tribunal Estatal Electoral de Guanajuato,Tribunal Estatal Electoral de Guanajuato,6825,2
259294300089,Gobierno de Zapopan,Gobierno de Zapopan,6121,4
180533315991,Guanajuato Gobierno del Estado,Gobierno del Estado de Guanajuato,5902,10
505132912869455,Instituto Guanajuatense para las Personas con Discapacidad,Ads Project Media,5843,37
285058928236909,Mauricio Vila,Mauricio Vila,5448,28
68793499001,UNICEF,UNICEF with Facebook Ad Credits,5121,8
123842270960929,Walmart de México y Centroamérica,Nueva Walmart de México SRL de CV,4766,8
105097171575007,La LOCAL Mx,La LOCAL Mx,4703,4
475040405910613,Lenin Perez Rivera,Evaristo Lenin Perez Rivera,4592,2
130352294189330,Adrián Oseguera,Adrián Oseguera,4544,3
110552178493339,TcoNoticias,TCO Noticias,4454,31
254852601222832,CEMEX México,CEMEX México,4238,32
424354117897066,Noticias En El Punto,Noticias en el Punto,4031,4
104680124489636,Demoscopia Digital,Demoscopia Digital,4019,51
122404620204,Oxfam México,OXFAM MEXICO AC,3707,3
269877666449337,Movimiento Ciudadano Jalisco,Movimiento Ciudadano,3646,7
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,3592,4
101116288314135,Escárcega Noticias,Escarcega,3559,1
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,3464,3
469246976533189,Santiago Creel,SantiagoCreelM,3428,4
178625645626125,Movimiento Ciudadano Nuevo León,Movimiento Ciudadano Nuevo León,3296,4
229422400424478,Julieta Mejía,Julieta Mejía,3211,1
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,3053,3
172262836190214,Julen Rementeria del Puerto,Acción Nacional Veracruz,3035,1
236254476579304,Enrique Vargas Del V.,Enrique Vargas Del V.,2967,44
215836968456734,Alfonso Martínez Alcázar,Alfonso Martínez,2906,1
449319475244963,Comité Directivo Estatal del PAN Chihuahua,Comité Directivo Estatal del PAN Chihuahua,2836,4
108575570895919,Carmelitas al día,Carmelitas al día,2814,1
106159885479677,Las Noticias México,Las Noticias México,2814,2
