Location name,Amount spent (NGN)
Abia State,2245
Adamawa State,729
Akwa Ibom State,1810
Anambra State,1822
Bauchi State,883
Bayelsa State,235
Benué State,1111
Borno State,521
Cross River State,1049
Delta State,1146
Ebonyi State,269
Edo State,886
Ekiti State,317
Enugu State,1486
Federal Capital Territory,7047
Gombe State,425
Imo State,984
Jigawa State,111
Kaduna State,2080
Kano State,3189
Katsina State,319
Kebbi State,148
Kogi State,1608
Kwara State,864
Lagos State,19580
Nasarawa State,403
Niger State,983
Ogun State,513
Ondo State,595
Osun State,858
Oyo State,2191
Plateau State,1366
Rivers State,6532
Sokoto State,416
Taraba State,333
Unknown,≤100
Yobe State,173
Zamfara State,201
