Location name,Amount spent (NGN)
Abia State,2487
Adamawa State,758
Akwa Ibom State,1383
Anambra State,2439
Bauchi State,632
Bayelsa State,178
Benué State,694
Borno State,993
Cross River State,1274
Delta State,2497
Ebonyi State,219
Edo State,1848
Ekiti State,262
Enugu State,2243
Federal Capital Territory,8344
Gombe State,423
Imo State,1667
Jigawa State,200
Kaduna State,3636
Kano State,4307
Katsina State,536
Kebbi State,160
Kogi State,614
Kwara State,1652
Lagos State,20410
Nasarawa State,630
Niger State,1065
Ogun State,1056
Ondo State,948
Osun State,1250
Oyo State,3954
Plateau State,1946
Rivers State,6243
Sokoto State,360
Taraba State,789
Unknown,≤100
Yobe State,298
Zamfara State,250
