Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
107217383988190,מגזין אפוק,Epoch Magazine,1837,33
698427173532872,חופות - מבית השגחה פרטית,חופות,1565,7
256546887847232,עיריית רמת גן,עיריית רמת גן,1393,11
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",1342,24
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,1210,21
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,931,22
325131448440639,מפלגת נעם,מפלגת נעם,920,6
204780362875106,מקור ראשון,מקור ראשון,882,108
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,775,2
161940843846699,התנועה הרפורמית,התנועה הרפורמית,717,12
100614131548339,עמוס שפירא - ראש אחר לתל אביב-יפו,Amos Shapira,622,4
1073548259341247,לובי 99,לובי 99,614,5
1913755198907011,"המרכז הרפואי לטיפול בהשמנה - ד""ר רז",המרכז הרפואי לטיפול בהשמנה,611,8
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",592,52
103183301914371,כוח של אמא,Nataly Milner,584,1
849824028408565,תנועת אם תרצו,תנועת אם תרצו,583,11
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,579,2
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,562,6
325048350950892,רמי גרינברג,עיריית פתח תקוה,523,6
655074111504644,تاغ ميئير: أمل، لا إرهاب,تاغ ميئير: أمل، لا إرهاب,502,1
682178658591430,נחמה בוגין,נחמה בוגין,494,2
205544429526773,תג מאיר: אור במקום טרור,תג מאיר: אור במקום טרור,477,9
604890186681585,מור ויצמן,Mor Weitzman,442,2
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,400,2
104743111658191,Ron Ben Shushan,רון בן שושן,396,4
360579527982726,מחאת הגלימות השחורות,מחאת הגלימות השחורות,391,2
112791015410812,Danny Danon - דני דנון,Danny Danon - דני דנון,348,1
194200557275526,לשכת העיתונות הממשלתית,לשכת העיתונות הממשלתית,348,3
1546772755634761,עמותת  מִפרקים צעירים - Mifrakim Tzeirim association,עמותת מפרקים צעירים,313,1
140536699429565,המכון למחקרי ביטחון לאומי,המכון למחקרי ביטחון לאומי,313,3
108787681841168,רישיון נשק בקליק,Michael Michel Levi,311,2
306522369420053,פורום המכללות הטכנולוגיות,פורום המכללות הטכנולוגיות,304,1
102660785992341,צדק צדק תרדוף,Omer Feldman,276,4
503274483198404,לינק Link 20 - התנועה לקידום צעירים עם מוגבלות,לינק Link 20 - התנועה לקידום צעירים עם מוגבלות,254,9
104222621115858,הביטחוניסטים,הביטחוניסטים,254,3
575042382839057,Nissim Vaturi - ניסים ואטורי,ניסּים ואטורי,246,3
100301088671913,Tal Hershkovitz,Tal Hershkovitz,243,1
182916765074767,אדם טבע ודין,אדם טבע ודין,240,3
155570487882563,בית ספר רעות ירושלים,בית ספר רעות ירושלים,217,6
190496434307366,חירייה | המרכז לחינוך סביבתי | Hiriya,חירייה - המרכז לחינוך סביבתי,212,3
129709433742187,Shalem College - המרכז האקדמי שלם,Shalem College - המרכז האקדמי שלם,211,4
137449656335533,Amnesty International Israel,Amnesty International Israel,206,6
676336439165235,קרן משפחת רודרמן: יחסי ישראל-יהדות ארצות הברית,קרן משפחת רודרמן: יחסי ישראל-יהדות ארצות הברית,204,14
158195257562237,מיכאל לייטמן,"בני ברוך קבלה לעם ע""ר",202,8
33942762466,Shalom Hartman Institute מכון שלום הרטמן,Shalom Hartman Institute - מכון שלום הרטמן,194,9
421210797920379,מועצה אזורית בנימין,מועצה אזורית בנימין,191,3
1514952655390958,משרד תומר ורשה - עורכי דין • הגירה והסדרת מעמד • אשרות בישראל • זכויות אדם,"משרד עו""ד תומר ורשה",185,7
994811120638154,כרם נבות كرم نابوت,כרם נבות كرم نابوت,172,6
169056346924201,פנימה,פנימה,166,6
103851895179872,אמהות לביאות,Nataly Milner,161,2
124894077550811,ישראל חופשית,ישראל חופשית,158,2
1484712825147171,Tomer Warsha Adv • Immigration to Israel • Aliya • Immigrants • Citizenship,"משרד עו""ד תומר ורשה",153,6
1662907067255622,איגוד הגז הטבעי,Unik,143,6
283691218336732,كيان تنظيم نسوي Kayan - Palestinian Feminist Organization,كيان تنظيم نسوي Kayan - Palestinian Feminist Organization,136,4
1619338854980208,יוסי דגן,המועצה האיזורית שומרון,130,2
172654247853282,Shenhav musanbar,Shenhav Musanbar,129,5
179034435458425,פנאי העיר חדרה,פנאי העיר חדרה,128,7
1392138171047822,"ארגון נכי צה""ל","ארגון נכי צה""ל",127,3
100160129076368,רפי סער - ראש העיר כפר סבא,רפי סער - ראש העיר כפר סבא,125,1
162089177185799,התאחדות התעשיינים בישראל,התאחדות התעשיינים בישראל,124,2
560708820628900,הגיע זמן חינוך,"קרן טראמפ בע""מ",123,4
810904589094226,צביקה ברוט - Tzvika Brot,צביקה ברוט - Tzvika Brot,121,2
136456246407342,לשכת סוכני ביטוח,Tal Sanderoni,117,14
104728241521436,האגודה לתרבות הדיור,האגודה לתרבות הדיור,115,8
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,111,2
361464970647064,זהר בלום,זהר בלום,110,1
