Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,10721,13
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,8458,10
101983652354160,Jozef Síkela,Starostové a nezávislí,3327,2
108726857444837,České zájmy v EU,DFMG,2555,4
424114981002397,Český rozhlas Plus,Český rozhlas,1854,40
1469427909957890,Reportér magazín,Reportér magazín,1814,4
632832356800711,Plzeňský Prazdroj,Plzeňský Prazdroj,1624,2
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,1563,3
52479821102,Týdeník Respekt,Týdeník Respekt,1408,10
315972808450196,ČSOB,ČSOB,1377,2
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1304,6
111210916534,Příběhy bezpráví,"Člověk v tísni, o.p.s.",1241,4
251656685576,KDU-ČSL,KDU-ČSL,1172,3
206791046438534,Plant for the Planet - Česká republika,Plant-for-the-Planet Czech Republic Nadace,1096,6
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,1020,3
109787574497667,Aliance pro budoucnost,Aliance pro budoucnost,931,1
197010357446014,Ondřej Prokop,Ondrej Prokop,850,1
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,761,3
944358442253364,Jihočeský kraj - oficiální,Jihočeský kraj - oficiální,744,5
356451014434612,Marian Jurečka,KDU-ČSL,714,2
384187235387895,Alena Schillerová,ANO,688,1
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,636,1
137778619615350,Voyo.cz,TV Nova s. r. o.,627,2
178362315106,European Parliament,European Parliament,578,8
317158175535179,BitLife,These ads ran without a disclaimer,554,5
105994357680102,Avenberg.cz,These ads ran without a disclaimer,520,2
693725074166331,Naše zdravotnictví,Naše zdravotnictví,486,3
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",478,5
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",466,3
188866358684457,Fuchs2,Fuchs2,466,1
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,465,2
1477535869227488,Vít Rakušan,Starostové a nezávislí,405,1
102844685102730,Olga Richterová - místopředsedkyně Sněmovny,Česká pirátská strana,402,2
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,393,7
90002267161,TOP 09,TOP 09,393,7
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,389,2
551976351670874,Zdeněk Hraba,Zdeněk Hraba - senátor,359,3
369282113213473,Zlin.eu,These ads ran without a disclaimer,348,1
1104866262972886,Michal Šmarda • Sociální demokracie,Česká strana sociálně demokratická,346,1
214827221987263,Andrej Babiš,Andrej Babiš,330,1
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,328,3
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,305,7
495743860451696,TOP 09 - Praha,TOP 09,256,2
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","Chrenek, Toman, Kotrba advokátní kancelář",246,6
257529307701966,Jiří Pospíšil,TOP 09,242,2
100970769093658,Jana Berkovcová,Jana Berkovcová,234,2
284944781875,EURACTIV.cz,EURACTIV.cz,217,9
113743658978459,Meltingpot,Meltingpot,216,5
840906766014124,Jana Mračková Vildumetzová,ANO,214,1
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",214,1
289075461571,TOP 09 - Středočeský kraj,TOP 09,213,2
123858471641,iROZHLAS.cz,Český rozhlas,210,2
1812098778828241,Ostravak,"Ostravak, politické hnutí",201,1
108342850697974,Hejtman Josef Suchánek,Starostové a nezávislí • STAN,196,2
321762510282,Michal Kučera,Michal Kučera,194,2
711658465662315,XTV,XTV,194,7
101722985492419,Klára Kocmanová,Česká pirátská strana,193,1
109323929038,Česká pirátská strana,Česká pirátská strana,191,1
315443914423,TOP 09 Praha 11,TOP 09 Praha 11,190,1
133030253410089,Jan Šafařík,Jan Šafařík,187,3
125830487980906,Solární asociace,Solární asociace,183,1
1956144064659620,BlueTV,Aliance pro budoucnost,176,2
205472656316937,Třebíč Občanům,Třebíč Občanům!,167,1
337302141482,Marianne,These ads ran without a disclaimer,160,1
100823439680349,Za Radlickou Radiálu,Za Radlickou Radiálu,150,1
227416910669250,Komora daňových poradců ČR,Komora daňových poradců ČR,149,2
378827025796132,Peak.cz,Peak.cz,148,10
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,145,2
201535993705342,Radim Sršeň,Radim Sršeň,144,2
147547541961576,Council of the European Union,Council of the European Union,142,3
246919825409416,Piráti Přerov,Česká pirátská strana,139,1
125453991470833,SEN 21 - politické hnutí,Senátor 21,134,1
101082378110228,Budoucnost,Budoucnost,131,1
100647378751279,Pavla Pivoňka Vaňková STAN,Pavla Pivoňka Vaňková STAN,130,1
102620981865843,Jana Skopalíková - radní pro životní prostředí a zemědělství,Jana Skopalíková - radní pro životní prostředí a zemědělství,128,3
102422605838295,Radek Hošek • zastupitel města Jihlavy,Radek Hošek • zastupitel města Jihlavy,128,2
130631260290858,Piráti Středočeský kraj,Česká pirátská strana,128,1
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,123,1
413476830191,Prague Security Studies Institute,Prague Security Studies Institute,122,3
215661292342258,Praha - město pro život,Praha - město pro život,122,1
198923616951918,"Tomáš Slabihoudek, radní z Osmičky",TOP 09,121,2
1468464403368393,Herbert Pavera - Váš senátor na Opavsku,PRodukujeme s. r. o.,121,4
111108757492137,Libor Vondráček • Svobodní,Libor Vondráček • Svobodní,111,5
548487565163265,"Buď Čech, buď laska","Buď Čech, buď laska",111,4
104087131747633,Zaostřeno,Zaostřeno,107,1
273367223021327,Veronika Vrecionová,Veronika Vrecionová,107,1
2297075120544646,Spojenci pro kraj,JsmePRO! (Spojenci pro kraj),105,1
609246842426009,Rekonstrukce státu,Rekonstrukce státu,101,1
367656464950,TOP 09 - Praha 10,TOP 09 - Praha 10,≤100,1
271054846258904,Praha 3,Městská část Praha 3,≤100,3
1410403182565683,Petr Hladík,KDU-ČSL,≤100,1
