Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
486723854867439,MYUPP,United Progressive Party,≤100,2
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),≤100,6
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),≤100,4
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,≤100,1
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,11
203239449860143,Harold Lovell,United Progressive Party,≤100,1
44846920403,Dean,Athill Dean Jonas,≤100,1
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100,1
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100,4
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100,4
314687429173912,Traveler Door,These ads ran without a disclaimer,≤100,2
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,4
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,3
103119027899256,Caribbean Climate-Smart Accelerator,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,2
104376759188069,Agsky-scrape,These ads ran without a disclaimer,≤100,5
