Location name,Amount spent (NGN)
Abia State,970
Adamawa State,1288
Akwa Ibom State,782
Anambra State,1275
Bauchi State,997
Bayelsa State,1178
Benué State,935
Borno State,1316
Cross River State,347
Delta State,2102
Ebonyi State,≤100
Edo State,891
Ekiti State,259
Enugu State,959
Federal Capital Territory,6345
Gombe State,456
Imo State,700
Jigawa State,223
Kaduna State,2840
Kano State,4123
Katsina State,1082
Kebbi State,869
Kogi State,793
Kwara State,1243
Lagos State,8643
Nasarawa State,634
Niger State,1553
Ogun State,952
Ondo State,272
Osun State,627
Oyo State,1987
Plateau State,1384
Rivers State,1344
Sokoto State,1577
Taraba State,358
Unknown,≤100
Yobe State,962
Zamfara State,959
