Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),≤100,5
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),≤100,5
486723854867439,MYUPP,United Progressive Party,≤100,3
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,≤100,1
97320092545,PAHO-WHO,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,11
44846920403,Dean,Athill Dean Jonas,≤100,1
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100,1
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100,4
1587313088233587,Ideagen,These ads ran without a disclaimer,≤100,1
1302059039869141,Ala Fekra,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,4
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,2
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,4
103119027899256,Caribbean Climate-Smart Accelerator,These ads ran without a disclaimer,≤100,1
880611255347800,Phoenix TV 鳳凰衛視,These ads ran without a disclaimer,≤100,1
