Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
365481993536188,TAFEP Tripartite Alliance for Fair and Progressive Employment Practices,TAFEP,626,2
109555293685,Gov.sg,Gov.sg,615,4
453961014813944,UOB,UOB,520,6
168071043252655,Pro Enterprise Panel - PEP,"Pro-Enterprise Panel, Ministry of Trade & Industry",513,2
219541704832846,National Reading Movement,National Reading Movement,315,2
176560205832891,Our SG – Home of Forward SG,Our SG – Home of Forward SG,296,6
215341045518389,GIC,GIC,231,8
160823460655497,Lianhe Zaobao 联合早报,Lianhe Zaobao 联合早报,229,5
115161084044,World Vision Singapore,World Vision Singapore,177,11
106894858726624,Save the Children International,These ads ran without a disclaimer,159,3
98511430597,CNB Drug Free SG,CNB Drug Free SG,135,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,113,2
219808688070361,Ministry of Sustainability and the Environment,Ministry of Sustainability and the Environment,≤100,4
467260466759436,Global Ehsan Relief,Global Ehsan Relief,≤100,10
1531909430459040,Schneider Electric,Schneider Electric,≤100,4
168442899846653,Ministry of Finance (Singapore),Ministry of Finance (Singapore),≤100,1
2052922968263010,96.3好FM,Nur Ashiqin Binti Jaffar,≤100,3
442714999084704,Kiss92,Nur Ashiqin Binti Jaffar,≤100,1
256953359544240,ExxonMobil Singapore,ExxonMobil,≤100,8
1389010631425852,World Scientific Singapore,World Scientific Publishing Co. Pte Ltd,≤100,6
136982159795537,Institute of Policy Studies - IPS,Institute of Policy Studies,≤100,1
836689413097228,Our Grandfather Story,Our Grandfather Story,≤100,1
126996258015076,Global Ehsan Relief Singapore,Global Ehsan Relief Singapore,≤100,5
166565800052060,ConnexionSG,Nexus,≤100,1
1780013892318908,"School of Humanities, NTU Singapore",NTU School of Humanities,≤100,1
104658058811584,Terra 2236,Terra 2236,≤100,2
111253634015629,Regardless,Regardless,≤100,1
122093814564174,AIA,These ads ran without a disclaimer,≤100,2
105193687974134,TWC2 Tamil,Transient Workers Count Too - TWC2,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
1468082613467781,Nee Soon Town Council,Nee Soon Town Council,≤100,1
105640164784251,Singapore United Party,Zhu Laicheng,≤100,2
150473311640966,Infobip,These ads ran without a disclaimer,≤100,1
343347583411734,歡樂大東家,These ads ran without a disclaimer,≤100,1
262901137100137,Caritas Singapore,These ads ran without a disclaimer,≤100,2
107154208980143,Techno-Science Design & Engineering,These ads ran without a disclaimer,≤100,1
129011692114,The Straits Times,The Straits Times,≤100,1
151405678864363,全民Party,These ads ran without a disclaimer,≤100,2
105330635666194,中国驻新加坡使馆公使张徐民 DCM and Minister in China Embassy to Singapore_Zhang Xumin,中国驻新加坡使馆公使张徐民 DCM and Minister in China Embassy to Singapore_Zhang Xumin,≤100,1
110810488471370,Dedicatted,These ads ran without a disclaimer,≤100,1
427787940590188,Радио Китай,These ads ran without a disclaimer,≤100,1
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,1
164432246934163,Chopard,These ads ran without a disclaimer,≤100,2
104831325728448,Diario del Pueblo,These ads ran without a disclaimer,≤100,1
101929586083219,Private1290_11107,These ads ran without a disclaimer,≤100,1
130369030334301,KidsRights,These ads ran without a disclaimer,≤100,1
104113425861099,V Chiryassov,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,5
257045211013828,San Antonio Spurs Pro,These ads ran without a disclaimer,≤100,2
102511496074524,Bonjour-32,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,2
100715632910454,Chengzhi01,These ads ran without a disclaimer,≤100,1
108240971635234,Bettermanly - Magazine,These ads ran without a disclaimer,≤100,5
102057912815989,Magic1423-01,These ads ran without a disclaimer,≤100,1
907478086066710,The Stephen 3 •Influencers•,These ads ran without a disclaimer,≤100,1
