Location name,Amount spent (NGN)
Abia State,1580
Adamawa State,1144
Akwa Ibom State,643
Anambra State,1426
Bauchi State,892
Bayelsa State,349
Benué State,255
Borno State,1092
Cross River State,481
Delta State,5222
Ebonyi State,248
Edo State,4824
Ekiti State,112
Enugu State,474
Federal Capital Territory,4886
Gombe State,269
Imo State,1269
Jigawa State,≤100
Kaduna State,2625
Kano State,4120
Katsina State,298
Kebbi State,108
Kogi State,171
Kwara State,1217
Lagos State,14209
Nasarawa State,230
Niger State,2006
Ogun State,684
Ondo State,399
Osun State,1138
Oyo State,4462
Plateau State,1308
Rivers State,4209
Sokoto State,1164
Taraba State,573
Unknown,≤100
Yobe State,251
Zamfara State,168
