Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
102268322635915,The Finance Daily,The Finance Daily,6229,6
740116816003959,Western Cape Government,Western Cape Government,1964,41
6011868110,Democratic Alliance,Democratic Alliance,1444,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1099,2
195909420099,Solidariteit,Solidariteit,978,4
144985128871748,City of Cape Town,City of Cape Town,524,3
116657351312927,Pledge To Vote SA,Pledge to Vote,489,16
1742410059361710,AwakeMzansi,Awake Mzansi,454,1
2145594122138312,Action Society,Action Society,295,17
119736861394881,Financial Mail,BusinessLIVE,264,17
106172744063430,The Daily Friend,The Daily Friend,246,20
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,229,7
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,179,18
141100792595323,Community Chest Durban,Gordon Mc Donald,161,3
527094523969093,Center of Inter-Religious Peace,These ads ran without a disclaimer,154,1
530927007388252,Vrye Weekblad,Vrye Weekblad (Nuwe Vrye Weekblad Mediagroep),106,1
182843381896565,Democratic Alliance Northern Cape,Democratic Alliance,≤100,1
103106768897128,Councillor Sakhile Mngadi,Sakhile Mngadi,≤100,5
136956534616,Times LIVE,TimesLIVE,≤100,3
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,≤100,1
178713262328364,DA KZN,Democratic Alliance,≤100,1
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,≤100,2
200901800033158,DA Makana,Democratic Alliance,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
181204251979581,NEASA,National Employers' Association of South Africa,≤100,1
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100,5
112315630440653,Cape Independence Advocacy Group,Cape Independence Advocacy Group,≤100,1
103983572995108,RoboForex,These ads ran without a disclaimer,≤100,1
101051196020136,Democratic Alliance Durbanville / Blaauwberg 2 Constituency,Democratic Alliance Durbanville / Blaauwberg 2 Constituency,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
153371894688575,World Bank,These ads ran without a disclaimer,≤100,1
336794296437261,DA GPL,These ads ran without a disclaimer,≤100,1
102470965836621,Sustainability MDPI,These ads ran without a disclaimer,≤100,2
179989282086901,Warriors of the Divine,These ads ran without a disclaimer,≤100,1
2316804725260574,Readyer,These ads ran without a disclaimer,≤100,1
111082344827615,raquelmandy,These ads ran without a disclaimer,≤100,1
114793458167821,T110-24,These ads ran without a disclaimer,≤100,1
107323451863865,Millennial Geeks,These ads ran without a disclaimer,≤100,1
1621692424754301,Minderoo Foundation,These ads ran without a disclaimer,≤100,2
2418643321715898,Daily Stickers,These ads ran without a disclaimer,≤100,1
1179605638874368,The Social Tribune,These ads ran without a disclaimer,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,1
609947459466638,Alex Ruelas,These ads ran without a disclaimer,≤100,1
105743361735500,New to Money Português,These ads ran without a disclaimer,≤100,1
101289218907718,Web News,These ads ran without a disclaimer,≤100,1
101822272617934,Network Booster,These ads ran without a disclaimer,≤100,1
107977331797625,My New Trends,These ads ran without a disclaimer,≤100,1
101787968733573,New to Money,These ads ran without a disclaimer,≤100,1
115007805938419,Trading Draft,These ads ran without a disclaimer,≤100,1
103959811845477,Blue Gazette,These ads ran without a disclaimer,≤100,1
150793518281117,Covestro,These ads ran without a disclaimer,≤100,2
98673036962,ROLDA,These ads ran without a disclaimer,≤100,2
102416722029565,"Innovate4Climate, I4C 2023 - Bilbao",These ads ran without a disclaimer,≤100,1
101545415784484,Simple Tribune,These ads ran without a disclaimer,≤100,1
2062553327115105,Superior Economy,These ads ran without a disclaimer,≤100,1
