Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,200
Bangkok,9313
Bueng Kan,≤100
Buriram,261
Chachoengsao,149
Chai Nat,≤100
Chaiyaphum,189
Chanthaburi,131
Chiang Mai,540
Chiang Rai,232
Chon Buri,451
Chumphon,132
Kalasin,156
Kamphaeng Phet,597
Kanchanaburi,182
Khon Kaen,394
Krabi,122
Lampang,162
Lamphun,111
Loei,119
Lop Buri,174
Mae Hong Son,≤100
Maha Sarakham,185
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,280
Nakhon Phanom,110
Nakhon Ratchasima,566
Nakhon Sawan,197
Nakhon Si Thammarat,361
Nan,≤100
Narathiwat,106
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,358
Pathum Thani,241
Pattani,140
Phangnga,≤100
Phatthalung,116
Phayao,≤100
Phetchabun,168
Phetchaburi,128
Phichit,119
Phitsanulok,267
Phrae,≤100
Phuket,428
Prachin Buri,106
Prachuap Khiri Khan,168
Ranong,≤100
Ratchaburi,219
Rayong,241
Roi Et,244
Sa Kaeo,103
Sakon Nakhon,170
Samut Prakan,212
Samut Sakhon,149
Samut Songkhram,≤100
Saraburi,179
Satun,≤100
Sing Buri,≤100
Sisaket,238
Songkhla,866
Sukhothai,207
Suphan Buri,170
Surat Thani,274
Surin,221
Tak,146
Trang,142
Trat,≤100
Ubon Ratchathani,332
Udon Thani,272
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,122
Yasothon,≤100
