Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,318
Bangkok,9160
Bueng Kan,107
Buriram,406
Chachoengsao,269
Chai Nat,≤100
Chaiyaphum,234
Chanthaburi,166
Chiang Mai,1191
Chiang Rai,545
Chon Buri,897
Chumphon,223
Kalasin,226
Kamphaeng Phet,560
Kanchanaburi,266
Khon Kaen,682
Krabi,220
Lampang,248
Lamphun,158
Loei,164
Lop Buri,210
Mae Hong Son,≤100
Maha Sarakham,258
Mukdahan,104
Nakhon Nayok,≤100
Nakhon Pathom,301
Nakhon Phanom,215
Nakhon Ratchasima,739
Nakhon Sawan,744
Nakhon Si Thammarat,576
Nan,140
Narathiwat,236
Nong Bua Lam Phu,108
Nong Khai,160
Nonthaburi,671
Pathum Thani,634
Pattani,271
Phangnga,117
Phatthalung,224
Phayao,162
Phetchabun,219
Phetchaburi,190
Phichit,165
Phitsanulok,463
Phrae,133
Phuket,404
Prachin Buri,176
Prachuap Khiri Khan,216
Ranong,104
Ratchaburi,310
Rayong,415
Roi Et,260
Sa Kaeo,159
Sakon Nakhon,270
Samut Prakan,356
Samut Sakhon,285
Samut Songkhram,≤100
Saraburi,249
Satun,133
Sing Buri,≤100
Sisaket,286
Songkhla,1687
Sukhothai,178
Suphan Buri,225
Surat Thani,636
Surin,475
Tak,241
Trang,239
Trat,141
Ubon Ratchathani,509
Udon Thani,358
Unknown,≤100
Uthai Thani,≤100
Uttaradit,125
Yala Province,240
Yasothon,116
