Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
75665129515,Go Negosyo,Go Negosyo,16680,4
555503991321280,Geraldine Roman,Sulong Pilipinas,16308,1
325780477966356,Geo 24/7,Energy Development Corporation,10388,25
323575494913091,PNE Media,PNE Media,9301,4
969917173120995,Susan Yap,Sulong Pilipinas,8295,1
122011893388648,Pinoy News and Entertainment,Pinoy News and Entertainment,5989,4
547821942058909,Pilipinas Today,WFPH,5483,37
100350202335117,Benhur Abalos,Supporters and Friends of Benhur Abalos,5116,2
1566478310240623,Francis Tolentino,Francis Tolentino PH,4000,21
109322002065194,EKIS,EKIS,3818,21
150218985056317,Senator Koko Pimentel,Friends of Senator Koko Pimentel,3739,1
100770729339080,Cong. Wilbert T. Lee,Cong. Wilbert T. Lee,3480,23
212808672071102,MWSS Regulatory Office,MWSS Regulatory Office,3472,1
558694637671776,Congressman  Pantaleon Alvarez,Congressman  Pantaleon Alvarez,3297,5
185633641527060,Toby Tiangco,Toby Tiangco,2745,6
105929115643626,Caroline Tanchay,Caroline Tanchay,2470,12
265779500134955,SM Supermalls,SM Supermalls,2226,8
197727873578501,Senator Migz Zubiri,Senator Migz Zubiri,2217,1
495629064258114,Lolita Karen Javier,Lolita Karen Javier,2047,3
100305568984268,EdukNaman,Philippine Business for Education Inc.,2045,7
109334491347461,Cara Amazing Story,Cara Amazing Story,1947,2
112952897079549,Energy Development Corporation,Energy Development Corporation,1933,7
351879361521039,Cong. Nonoy Libanan,Cong. Nonoy Libanan,1881,5
1968320283460297,Filipino News Feed,Filipino News Feed,1595,2
1647474828693396,Bong Go,Bong Go,1494,3
494887807297979,Cocolife,Cocolife,1448,2
701517253228758,DOSTv,DOSTv,1410,3
101911131623327,Atorni Mike,Atorni Mike,1377,1
269175894020945,Pilipinas Today,WFPH,1353,7
223618785182273,Pilipinas,WFPH,1327,7
389309271851098,Pinoy Builders,"PurpleBug, Inc.",1269,10
100562967966954,Filipinas Radyo AM,WFPH,1262,14
105604828846674,Rose Lin,Friends of Rose Lin,1201,6
121843141182573,Ayala Corporation,Ayala Corporation,1120,1
104616942239605,Inday Franz Gasataya,Inday Franz Gasataya,1115,2
216728172211793,GO Na Tayo,GO Na Tayo,1066,1
1332938170076882,Tatak QC,Polsure,1058,4
302182906469111,Congressman Greg Gasataya,Congressman Greg Gasataya,1046,2
100170811672425,Pilipinas Today Kyusi,WFPH,1042,6
263066651005055,"Ramon Bong Revilla, Jr.","Ramon Bong Revilla, Jr.",1033,1
1553973434658376,Filipino Community,Filipino Community,1000,1
248113532485940,Alexie B. Tutor,Alexie B. Tutor,996,1
150330215080785,The Honors Tutorial Center,These ads ran without a disclaimer,988,2
257830240980106,Ronnie Dadivas,Roxas City United,975,3
2147575852160385,Congresswoman Ann Matibag,Congresswoman Ann Matibag,933,5
102886345339673,Ben Patron,Ben Patron,919,2
103751355997012,Optum Philippines,Optum Philippines,910,1
197171390303624,Arlene B. Arcillas,Arlene B. Arcillas,881,2
100155158432600,The Health Center PH,The Best Healthctr Hub Ph,865,2
102820774791720,Congressman Marvin Rillo,Congressman Marvin Rillo,842,2
330818486937353,John Dalipe - Page,John Dalipe - Page,789,5
333701057319933,MAYOR RAJIV ENAD,Friends of Mayor Rajiv Enad,739,4
374004705980904,Philippine Business for Education,Philippine Business for Education,738,3
315452865504416,ChildFund Philippines,ChildFund Philippines,736,4
228700014146287,Filipinas Bisaya,Filipinas Bisaya,723,7
505887912898325,Positive Energy,Energy Development Corporation,697,3
176725369945441,Pilipinas Today,The World Tonight,686,5
118263363420286,Pilipinas Today Ilocos,WFPH,671,5
332536503771530,Vice Governor Karen Agapay,Vice Governor Karen Agapay,659,3
145265112840190,Kasama Ka Sa Pag-Unlad,Polsure,640,2
1759941490758280,Jerry Treñas,Jerry Treñas,631,11
2103172176611007,Aksyon Demokratiko,Aksyon Demokratiko,603,3
438159769566830,EDC BINHI,EDC BINHI,580,6
1958754127730229,Balita Ngaun,Balita Ngaun,553,2
1512452085732585,Stratbase ADR Institute,Stratbase ADR Institute,541,2
914556591894195,CitizenWatch Philippines,CitizenWatch Philippines,538,2
227733163959394,Stargate PeopleAsia,Stargate PeopleAsia,529,3
101885961492021,Kuya Bong Go,Kuya Bong Go,523,1
103206424893248,Davao Consumer Movement,Davao Consumer Movement,512,2
100262295333622,USWAG Ilonggo Party-list,USWAG Ilonggo Party-list,489,1
106066225014933,BOKAL Dindo V. Dysico,BOKAL Dindo V. Dysico,480,1
1779870368752390,May JOY sa QC,Polsure,479,2
1922749344643532,The World Tonight,The World Tonight,467,3
104988244674974,Mobility Awards,The Climate Reality Project Philippines,464,3
404729389612751,"Teodorico ""Nonong"" T Haresco, Jr","Teodorico ""Nonong"" T Haresco, Jr",463,4
537843086665379,City Inquirer,City Inquirer,420,5
2053963044834435,Bikol Ngunian PH,Bikol Ngunian PH,409,1
100877355420271,One to Tree,One to Tree,393,1
774149009339209,The Climate Reality Project Philippines,The Climate Reality Project Philippines,393,6
147975588597216,Stratbase,Stratbase,390,1
1840292579606063,Jam Jam Baronda,Jam Jam Baronda,386,4
109867628173478,Ronin Leviste,Ronin Leviste,376,6
2059973310693753,MELS TENT,These ads ran without a disclaimer,369,1
1834423440210624,"Bantay Konsyumer, Kalsada, Kuryente","Bantay Konsyumer, Kalsada, Kuryente",363,1
185986004827409,UNFPA Philippines,PLCPD,321,6
629488444347803,Mayor Allan De Leon,Mayor Allan De Leon,317,2
103485942191411,Juan Bulletin,Polsure,316,1
102203275921536,Cong. JC Abalos,Cong. JC Abalos,314,1
100228085283881,Support to Bangsamoro Transition - Subatra,Support to Bangsamoro Transition - Subatra,309,2
1380167115635985,LEDS Clothing,LEDS Clothing,309,2
107525411171131,Cong. Gabby Bordado,Gabby Bordado,303,1
110021974112031,Harold David Butardo,Harold David Butardo,301,1
207494196545897,"San Anselmo Publications, Inc.","San Anselmo Publications, Inc.",268,2
154386154617,WWF-Philippines,WWF-Philippines,264,2
103548215475630,Aniela Tolentino,Archinet International Inc.,263,4
222187917795664,Social Watch Philippines,Social Watch Philippines,252,2
956992934491805,Jaye Lacson-Noel,Jaye Lacson-Noel,241,1
167815253908956,I Heart Malabon,I Heart Malabon,238,1
105894749077530,Ka Pina Garcia,Ka Pina Garcia,238,1
178941529519837,Edgar M. Chatto,Edgar M. Chatto,228,3
247331620535579,Mike Defensor,The Mike Defensor Organization,220,2
107701168822758,Aksyon TV,Aksyon TV,219,1
234749586876960,Tyron Uy,Team Walang Iwanan,212,3
1669303526443380,Trendsuertres Customized Promotional Items Baller Wrist Band Keychains etc.,Trendsuertres Customized Promotional Items Baller Wrist Band Keychains etc.,209,1
407604493105131,"PBA: Politika, Basketbol, at Artista","PBA: Politika, Basketbol, at Artista",198,4
104736895310671,Danny A. Domingo,Capino Advocates for Digital Media Consultancy,186,1
1710652982556834,Lee Ann Debuque,Lee Ann Debuque,149,1
107151062448233,Raffy Tulfoo,These ads ran without a disclaimer,148,1
882433785480661,"Adrian Jay ""AJ"" Advincula","Adrian Jay ""AJ"" Advincula",146,1
117678194597114,EDGAR Lapiña,EDGAR Lapiña,140,1
107463358538636,planetGOLD Philippines,planetGOLD Philippines,136,2
103485755951862,EDCOM 2 - Second Congressional Commission on Education,Education Commission II,134,3
308668033138598,"Vice Mayor Angelito ""Totie"" Lazaro Jr.","Vice Mayor Angelito ""Totie"" Lazaro Jr.",132,3
327812967287458,Vic-Vic Magsaysay,Vic-Vic Magsaysay,128,1
112586745088105,rechtsanwalt.lehner,These ads ran without a disclaimer,125,1
102198141936537,Singapore Deep-Tech Alliance,These ads ran without a disclaimer,123,1
352659278684227,MP Marjanie S. Mimbantas Macasalong,MP Marjanie S. Mimbantas Macasalong,123,2
104366422214161,Cong. Howard Guintu,Cong. Howard Guintu,122,2
100926522848043,Kuya Oweng Eagles Merchandise,These ads ran without a disclaimer,121,2
102096659031494,Cong. Arnan C. Panaligan - House of Representatives,Cong. Arnan C. Panaligan - House of Representatives,119,3
1452648134951782,Local Government Unit of Solano,Local Government Unit of Solano,112,1
1860498353989958,Carl Steven Avellana Weigel,Carl Steven Avellana Weigel,109,1
101178932348592,Office of the Municipal Mayor - Atty. Philip A. Dacayo,Office of the Municipal Mayor - Atty. Philip A. Dacayo,108,1
529901257160994,Paz Radaza,Klin Mar Mejo,107,1
278940185804530,Eugrace Accounting Services,These ads ran without a disclaimer,104,1
105537992506657,Mayor Esmie Pineda,Mayor Esmie Pineda,104,1
104145285031597,Mayor Sammy Co,Mayor Sammy Co,104,1
102550901310332,Pilipinas Visayas,WFPH,104,1
166107624078770,Camanava News,Camanava News,104,3
388689438381348,Mike Defensor,The Mike Defensor Organization,102,2
105969951219886,Sibika.ph,Philippine Business for Education Inc.,101,2
110588098572284,Maharlika News PH.,Maharlika News PH.,≤100,1
222345887828926,CEAP,CEAP,≤100,1
104001402372027,Vice Mayor Mark Villaluna Galsim,Vice Mayor Mark Villaluna Galsim,≤100,1
101122222885325,Margarita Gutierrez,Margarita Gutierrez,≤100,1
100611524845025,DSH Connect,These ads ran without a disclaimer,≤100,1
1657454604523841,De Oro Trapal and Tents,These ads ran without a disclaimer,≤100,1
100343695657840,PAR AUTO Trading,These ads ran without a disclaimer,≤100,1
105085851944713,Kuya Kifli L Salliman,These ads ran without a disclaimer,≤100,1
101292275353483,Philippine Daily Inquirer,These ads ran without a disclaimer,≤100,2
106799837384480,Cocopea Ph,Cocopea Ph,≤100,1
100438001850801,"CEAP Retirement Fund, Inc.","CEAP Retirement Fund, Inc.",≤100,1
107323325604626,Team ETAW Caravana,Team ETAW Caravana,≤100,1
104465152700402,S•A•M,S•A•M,≤100,1
100136438865259,Ako Volunteer - BBM SARA,Volunteerism Initiative,≤100,1
103366018694923,Jonathan Jonsi Siytiap,Jonathan Jonsi Siytiap,≤100,1
126919387470670,Rufus B. Rodriguez,Rufus B. Rodriguez,≤100,3
114800534893965,Ligtas na Pilipinas,Message Doctor PH Company,≤100,1
290009901573686,SK Federation of Pagbilao,SK Federation of Pagbilao,≤100,1
104902112288347,Mary Ann C. De Los Santos,Mary Ann C. De Los Santos,≤100,1
112131201686528,SUPER KAP,The Message Booster Corp.,≤100,1
108155078312735,Councilor Carlo Mendoza,Councilor Carlo Mendoza,≤100,1
106235362136492,SurfPlus Digital Recreation,SurfPlus Digital Recreation,≤100,1
111303025104461,Yarn ang Pinoy,The Message Booster Corp.,≤100,1
107344342185946,Councilor Omar Buenafe,Councilor Omar Buenafe,≤100,1
374219229736809,Julius Bacote Frago,Julius Bacote Frago,≤100,1
959151100833476,Triple F Printing Press,These ads ran without a disclaimer,≤100,1
203327936686109,Mujer-LGBT Organization,Mujer-LGBT Organization,≤100,1
595181867315621,Icel Del Rosario Morales,Icel Del Rosario Morales,≤100,1
240949663464402,AmazingShots,These ads ran without a disclaimer,≤100,1
103332832853108,Mayors for Good Governance,Kaya Natin! Movement for Good Governance and Ethical Leadership,≤100,1
103990525079742,WEBT Laufer Kennel,These ads ran without a disclaimer,≤100,1
1513598595608136,Konsehal Phillip Yerro Kimpo,Konsehal Phillip Yerro Kimpo,≤100,1
46361808553,Kaya Natin! Movement for Good Governance and Ethical Leadership,Kaya Natin! Movement,≤100,1
1829267970657926,The Bohol Marites,The Bohol Marites,≤100,1
366797844060990,Now You Know,Now You Know,≤100,1
111364815334817,Makabagong Parañaque News,Makabagong Parañaque News,≤100,2
123465590650551,Allied Health Group USA,These ads ran without a disclaimer,≤100,1
105225735813889,Binmaley Municipal Library,These ads ran without a disclaimer,≤100,2
1706379116093495,Councilor Michael Dy,Councilor Michael Dy,≤100,1
116046988756331,Atty. Jun Quiñones Tejoso,Atty. Jun Quiñones Tejoso,≤100,1
105526014771322,"Jamail ""Atty. Jam"" Macla","Jamail ""Atty. Jam"" Macla",≤100,1
105277334371277,Wecast Digital Printing,These ads ran without a disclaimer,≤100,1
108119955645153,Team Binay,These ads ran without a disclaimer,≤100,3
108711731588676,JV Vitug,These ads ran without a disclaimer,≤100,1
118828961151139,Trung Tâm Nhân Giống F1,These ads ran without a disclaimer,≤100,1
1717497868504337,Truth and Moments,These ads ran without a disclaimer,≤100,1
106403067788374,Buzz World,These ads ran without a disclaimer,≤100,1
1027626217435226,Richouses,These ads ran without a disclaimer,≤100,1
267757110537958,The House,These ads ran without a disclaimer,≤100,1
102873532224080,Jumping Jim,These ads ran without a disclaimer,≤100,1
220898724599599,Ação da Cidadania,These ads ran without a disclaimer,≤100,1
104762075732099,Fany Pineda,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,1
113399258473117,Người Tốt - Lương Y Phạm Văn Thanh - Chữa Dứt Điểm bệnh Dạ Dày Đại Tràng,These ads ran without a disclaimer,≤100,1
171195311682401,ParentzTalk - Activities,These ads ran without a disclaimer,≤100,1
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,1
405199520209766,The Belt and Road News Network,These ads ran without a disclaimer,≤100,1
30911162508,Forbes,These ads ran without a disclaimer,≤100,1
137412866820,RSL Awards,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,2
