Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,482
Bangkok,13155
Bueng Kan,≤100
Buriram,305
Chachoengsao,199
Chai Nat,246
Chaiyaphum,157
Chanthaburi,144
Chiang Mai,557
Chiang Rai,392
Chon Buri,576
Chumphon,302
Kalasin,162
Kamphaeng Phet,161
Kanchanaburi,276
Khon Kaen,543
Krabi,331
Lampang,271
Lamphun,≤100
Loei,124
Lop Buri,158
Mae Hong Son,106
Maha Sarakham,249
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,365
Nakhon Phanom,105
Nakhon Ratchasima,599
Nakhon Sawan,628
Nakhon Si Thammarat,1759
Nan,≤100
Narathiwat,172
Nong Bua Lam Phu,≤100
Nong Khai,103
Nonthaburi,1352
Pathum Thani,534
Pattani,193
Phangnga,217
Phatthalung,418
Phayao,145
Phetchabun,159
Phetchaburi,141
Phichit,286
Phitsanulok,4398
Phrae,≤100
Phuket,1931
Prachin Buri,139
Prachuap Khiri Khan,265
Ranong,≤100
Ratchaburi,293
Rayong,260
Roi Et,221
Sa Kaeo,≤100
Sakon Nakhon,244
Samut Prakan,417
Samut Sakhon,278
Samut Songkhram,347
Saraburi,183
Satun,104
Sing Buri,≤100
Sisaket,258
Songkhla,1489
Sukhothai,148
Suphan Buri,855
Surat Thani,7365
Surin,241
Tak,371
Trang,282
Trat,≤100
Ubon Ratchathani,707
Udon Thani,293
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,185
Yasothon,104
