Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
176114889652,Kancelaria Premiera,Kancelaria Premiera,19289,23
106204692244510,Jigsaw Polska,Jigsaw,18052,4
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,6439,6
380485532115847,Ministerstwo Rodziny i Polityki Społecznej,Ministerstwo Rodziny i Polityki Społecznej,6179,2
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,4778,53
178362315106,European Parliament,European Parliament,2844,13
57544755889,Amnesty International Polska,Amnesty International Polska,2087,25
339855706171439,Dobra Fabryka,Dobra Fabryka,2052,13
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,1943,5
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,945,13
104442609633150,Lubuskie,Lubuskie,882,3
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,807,22
199877710116314,Patryk Jaki,GRUPA EKR - Patryk Jaki MEP,795,5
228168274881,wysokieobcasy,wysokieobcasy,690,9
142614625077,WWF Polska,WWF Polska,618,7
513969188677442,Compassion Polska,Compassion Polska,601,18
868599633152789,Koncept - magazyn akademicki,Fundacja Inicjatyw Młodzieżowych,508,6
102466034698538,Ośrodek Monitorowania Chrystianofobii Fidei Defensor,Biuro Fidei Defensor,493,4
107898832590939,European Commission,European Commission,483,2
273827962690526,Otwarte Klatki,Otwarte Klatki,471,8
391098174296294,Super Express,se.pl,416,2
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,349,8
102146208361697,Myśl Suwerenna,Instytut Suwerennej,342,8
164968446888637,Ministerstwo Sprawiedliwości,Ministerstwo Sprawiedliwości,323,1
50063176484,TVN24,TVN,315,16
1967695263556184,Sylwia Spurek,The Grens/EFA in the European Parliament,311,3
104330734389743,Wolnorynkowy.pl,JKM - Portal Sp. z o.o.,295,1
170902079673829,Ørsted,These ads ran without a disclaimer,282,3
662892093824152,Fundacja Małych Stópek,Fundacja Małych Stópek,253,3
1381575975475340,EduAkcja - szkolenia dla nauczycieli,EduAkcja sp. z o.o.,253,18
311278685609822,Fundacja Centaurus,Fundacja Centaurus,233,5
