Page ID,Page name,Disclaimer,Amount spent (XCD),Number of ads in Library
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),196,6
486723854867439,MYUPP,United Progressive Party,121,4
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),111,8
220849685513413,Antigua Breaking News,Antigua Breaking News,≤100,4
109407040848704,Sean Bird,United Progressive Party,≤100,1
102389305793337,Anthony Stuart,Democratic National Alliance,≤100,6
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100,1
111347180673351,Anthony Smith Jr.,Anthony Smith,≤100,3
44846920403,Dean,Athill Dean Jonas,≤100,1
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,≤100,1
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100,1
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100,1
108465098593385,Mario Thomas,Democratic National Alliance,≤100,2
698379307000668,Democratic National Alliance - Antigua and Barbuda,Democratic National Alliance,≤100,1
