Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
643137272398136,Sverige för UNHCR,Sverige för UNHCR,36715,19
608975645850217,Vattenfall,Vattenfall Sverige,23286,74
126567104406,Hyresgästföreningen,Hyresgästföreningen,22358,112
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,15647,29
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,11774,8
161213770567846,Operation Smile Sverige,Operation Smile Sverige,8905,7
109886133732943,RESCUE - Sverige,RESCUE - Sverige,8497,1
162985227114132,Skellefteå Kraft,Skellefteå Kraft,7751,5
382243262003,Plan International Sverige,Plan International Sverige,7631,10
111630258867610,Röda Korset,Röda Korset,7586,11
279974638809211,Oxfam Sverige,Oxfam Sverige,7441,9
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),7250,35
207676515922828,Västtrafik,Västtrafik AB,6496,12
59324455950,UNICEF Sverige,UNICEF Sverige,6148,6
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,5897,58
369582590803,Dagens ETC,ETC-tidningarna,5570,35
101341883359561,Matsmart Sverige,Matsmart,5391,17
95735961890,Greenpeace Sverige,Greenpeace Sverige,5258,77
237146235237,Timbro,Tankesmedjan Timbro,4965,20
72659261793,Rädda Barnen,Rädda Barnen,4135,32
115212521895994,Vattenfall Eldistribution AB,Vattenfall Eldistribution AB,3335,6
186513678039755,Fortum,Fortum Sverige,3128,50
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,2981,3
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,2594,3
256148111215223,Länsförsäkringar Älvsborg,Scream Mediabyrå AB,2317,4
131103013625213,Statens institutionsstyrelse,Statens institutionsstyrelse - SiS,2196,6
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,2180,30
109724707089757,Barndom utan baksmälla,Barndom utan baksmälla,2102,2
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,2029,8
175656912484553,Unionen,Unionen,1776,9
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,1767,8
106579105171694,ETC nyhetsmagasin,ETC Media AB,1738,6
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,1658,49
153270724787,Amnesty International Sverige,Amnesty International Sverige,1477,10
111699453757094,Soft Towel Games,These ads ran without a disclaimer,1460,1
42676805259,Diakonia,Diakonia,1384,8
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,1215,6
212604496324,Fackförbundet ST,Fackförbundet ST,1066,55
314872662206,Ekonomifakta,Ekonomifakta,1014,62
103296115466644,Skattenytta,Kommissionen för Skattenytta,893,5
533884160419305,Companies of the Future,These ads ran without a disclaimer,836,1
379686162129542,Svea Bank,Svea Ekonomi,777,5
