Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
149388985089327,L'Oréal Paris,L’Oreal Polska Sp z o.o.,5777,20
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),3133,8
100947022065093,Okresowa Koalicja,Okresowa Koalicja,2860,9
1683534065241470,OKO.press,OKO.press,1904,42
102931488739,Platforma Obywatelska,Platforma Obywatelska,1671,5
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,1346,8
178362315106,European Parliament,European Parliament,1288,8
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,1145,35
107898832590939,European Commission,European Commission,1135,4
102811109411234,Do:łącz,Dołącz,1044,8
107971230622325,Ministerstwo Finansów,These ads ran without a disclaimer,1034,1
57544755889,Amnesty International Polska,Amnesty International Polska,988,41
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,895,16
1181684038602267,Niepodległa,"BIURO PROGRAMU ""NIEPODLEGŁA""",813,9
1227194230675141,Pratia,Pratia SA,757,7
228168274881,wysokieobcasy,wysokieobcasy,725,7
147547541961576,Council of the European Union,Council of the European Union,685,8
344620515579640,Fundacja Równość.org.pl,Fundacja Równość.org.pl,681,2
276860619087002,Sylwester Tułajew,Sylwester Tułajew,661,3
144808095552639,ING Polska,ING Polska,619,9
114453729684,gazetaprawna.pl,gazetaprawna.pl,533,4
229797220398331,Kampania Przeciw Homofobii,Kampania Przeciw Homofobii with Facebook ad credits,524,84
513969188677442,Compassion Polska,Compassion Polska,519,10
111778487054045,TOGETAIR,Kamil Magot,513,15
95661128574,Radio ESKA,Radio ESKA,477,3
108301418501661,Odszkodowania Za Represje 1944-1989,Łukasz Świątek,429,8
113143203693,Santander Bank Polska,Santander Bank Polska,427,9
578864425792499,Ośrodek Monitorowania Antypolonizmu,Fundacja Ośrodek Monitorowania Antypolonizmu,425,4
142614625077,WWF Polska,WWF Polska,417,7
105636040979969,Polska 2050,Polska 2050 Szymona Hołowni,411,3
107344527675114,Toyota - fabryka w Wałbrzychu,Szymon Jan Marczak,401,3
178415208919146,Solidarna Polska,Solidarna Polska,376,3
90194404398,Helsińska Fundacja Praw Człowieka,Helsińska Fundacja Praw Człowieka,344,142
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,344,5
159205967423152,Stowarzyszenie Sursum Corda /w górę serca/,H4People,341,10
195591907176717,Grzegorz Piechowiak - Wiceminister Rozwoju i Technologii,Biuro Posła Grzegorza Piechowiaka,338,2
142218132483199,Kasa Stefczyka,Kasa Stefczyka,333,8
406758116099067,Fundacja Kasisi,Fundacja Kasisi,329,3
142361819657439,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,304,1
164968446888637,Ministerstwo Sprawiedliwości,Ministerstwo Sprawiedliwości,297,1
