Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
362328664703,Start Talking Kenya,Well Made Strategy,2941,20
173516606349429,Hon Wavinya Ndeti,These ads ran without a disclaimer,1130,1
123182861072147,Hon Musalia W Mudavadi,Hon Musalia W Mudavadi,955,1
1400771023469241,Anne Waiguru,Anne Waiguru,556,1
102324481269298,Hon. Zamzam Mohammed,Hon. Zamzam Mohammed,302,2
112754900441156,DR. Kiarie Badilisha,DR. Kiarie Badilisha,240,1
780365355477607,Kenya Muslim Youth Alliance,Kenya Muslim Youth Alliance,205,1
194141207389467,Booker Ngesa Omole,Communist Party of Kenya,199,1
105833652399018,Maina Karobia,Maina Karobia,180,1
103644672731725,Amb. Nancy Karigithu,Arkinst Limited,115,1
102826972150258,Hon. Mrembo Irene Njoki,Hon. Mrembo Irene Njoki,114,2
484917995035641,"Dr. Emmanuel Owiti Owayo,FDR","Dr. Emmanuel Owiti Owayo,FDR",≤100,1
464358370318800,TGNP,These ads ran without a disclaimer,≤100,1
1517088885216557,AIG,These ads ran without a disclaimer,≤100,1
111319355159431,Omondi Marvin Paul,These ads ran without a disclaimer,≤100,1
113294518417695,Kithure Kindiki Fans,These ads ran without a disclaimer,≤100,1
100429929518257,Baobab,These ads ran without a disclaimer,≤100,1
802090139805877,Tony Marioghae,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
880611255347800,Phoenix TV 鳳凰衛視,These ads ran without a disclaimer,≤100,1
104738335990390,Fnuhj-1234,These ads ran without a disclaimer,≤100,2
315603771494,Milaap,These ads ran without a disclaimer,≤100,1
106170661628518,香港V,These ads ran without a disclaimer,≤100,1
107941432333008,Cdhg-1234,These ads ran without a disclaimer,≤100,1
117105021304811,Bigggie,These ads ran without a disclaimer,≤100,2
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,2
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,1
