Location name,Amount spent (NGN)
Abia State,2304
Adamawa State,513
Akwa Ibom State,1030
Anambra State,1855
Bauchi State,243
Bayelsa State,794
Benué State,526
Borno State,207
Cross River State,1588
Delta State,2657
Ebonyi State,333
Edo State,1195
Ekiti State,261
Enugu State,1837
Federal Capital Territory,9177
Gombe State,148
Imo State,971
Jigawa State,≤100
Kaduna State,2218
Kano State,1810
Katsina State,184
Kebbi State,≤100
Kogi State,443
Kwara State,692
Lagos State,39800
Nasarawa State,406
Niger State,749
Ogun State,550
Ondo State,466
Osun State,1013
Oyo State,2556
Plateau State,1184
Rivers State,6002
Sokoto State,154
Taraba State,1394
Unknown,≤100
Yobe State,114
Zamfara State,≤100
