Location name,Amount spent (NGN)
Abia State,31990
Adamawa State,13972
Akwa Ibom State,20603
Anambra State,18319
Bauchi State,10543
Bayelsa State,5308
Benué State,11633
Borno State,12746
Cross River State,13940
Delta State,22963
Ebonyi State,3601
Edo State,19574
Ekiti State,4259
Enugu State,27262
Federal Capital Territory,55242
Gombe State,14589
Imo State,22266
Jigawa State,3122
Kaduna State,36359
Kano State,95818
Katsina State,10957
Kebbi State,3126
Kogi State,10199
Kwara State,11628
Lagos State,206735
Nasarawa State,8145
Niger State,13706
Ogun State,26463
Ondo State,8249
Osun State,10048
Oyo State,38990
Plateau State,21587
Rivers State,79004
Sokoto State,10136
Taraba State,6611
Unknown,≤100
Yobe State,5052
Zamfara State,3999
