Location name,Amount spent (NGN)
Abia State,971
Adamawa State,344
Akwa Ibom State,1097
Anambra State,609
Bauchi State,257
Bayelsa State,1505
Benué State,292
Borno State,305
Cross River State,411
Delta State,2504
Ebonyi State,121
Edo State,578
Ekiti State,140
Enugu State,868
Federal Capital Territory,5418
Gombe State,135
Imo State,2058
Jigawa State,≤100
Kaduna State,1745
Kano State,1350
Katsina State,185
Kebbi State,≤100
Kogi State,5964
Kwara State,644
Lagos State,16376
Nasarawa State,333
Niger State,694
Ogun State,247
Ondo State,267
Osun State,292
Oyo State,1677
Plateau State,758
Rivers State,5132
Sokoto State,198
Taraba State,142
Unknown,≤100
Yobe State,107
Zamfara State,≤100
