Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,14880533,15
23383061178,Prabowo Subianto,indonesia Adil makmur,8783799,7
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,8503550,115
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,5878621,23
102793242742002,Jaksapedia,JAKSAPEDIA,5390782,34
101971245965029,Siap Kawal Polri,Kawal Polri,3438405,34
197545083607941,Harian Kompas,Harian Kompas,2674498,36
111580301790421,Cak Fauzi JATIM,Cak Fauzi Jatim,2095025,30
102262302515901,Henry Indraguna,Ananda Puja Wandra,1761097,6
164882486874333,antaranews.com,antaranews.com,1572263,3
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,1461871,27
342449962923657,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,1205339,88
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,1146936,13
138564054486639,Voilà Ai Artist,These ads ran without a disclaimer,1034622,2
111864151754055,Esensi TV,Esensi Tv,983334,8
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,889571,90
102350232731810,Satochi Jepang - Solusi Untuk Penderita Diabetes Tipe 1 Dan 2,These ads ran without a disclaimer,676657,3
144214102401186,Maman Abdurrahman,Maman Abdurrahman,628520,4
256838011014355,Partai Gerakan Indonesia Raya (Gerindra),Partai Gerindra,610858,3
104427162506872,Fakta Anies,Fakta Anies,533413,59
103290336009963,Akbar Faizal Uncensored,Yayasan Infobox,494240,37
217841272115804,Kabar Golkar,Yayasan Kabar Golkar,493174,36
102317908914727,Climate Justice Indonesia,Climate Justice Indonesia,488127,6
102708602466860,Riau Dukung Ganjar,Ganjar Nusantara Indonesia,464652,4
101284185918970,Rumah Kita Riau,Ganjar Nusantara Indonesia,455631,4
111805655036485,Humas DPRD Pati,Aditya Rachmat Pamungkas,431380,8
1716437738583378,Banten Dukung Ganjar,Ganjar Nusantara Indonesia,420624,6
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,417479,2
104830667806476,Melihat Indonesia,Melihat Indonesia,400383,22
106499898747570,Lampung Dukung Ganjar,Ganjar Nusantara Indonesia,394959,4
318316705029207,Jefirstson R Riwu Kore,Jefirstson R Riwu Kore,389089,2
444318475704011,Yayasan Bangun Kecerdasan Bangsa,Yayasan Bangun Kecerdasan Bangsa,383434,28
107314345341621,Zakiyuddin Harahap,Zakiyuddin harahap,377620,12
104708079203574,Airlangga Hartarto 2024,Yayasan Infobox,377369,3
1854187061497992,Jogja Dukung Ganjar,Ganjar Nusantara Indonesia,352975,4
101428652793656,Readktif,Aditia Ramdani,350324,6
106681168697547,Rumah kita sulsel,Ganjar Nusantara Indonesia,337928,4
2222018624739038,Jakarta Dukung Ganjar,Ganjar Nusantara Indonesia,334371,5
104529685103842,Fraksi Gerindra DPRD Jawa Barat,Andre Lukman,334198,7
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,315801,1
105984728799517,Sulsel Dukung Ganjar,Ganjar Nusantara Indonesia,310031,3
813887722072071,Yayasan Pundi Amal Bakti Ummat,Yayasan Pundi Amal Bakti Ummat,305952,18
101552865962561,GP Oku Raya,Ganjar Nusantara Indonesia,304172,3
173776079818775,Saiful Mujani,Saidiman,298700,1
110952238516382,Kiki Daliyo,Juniar Dwi Harianto,294335,11
112376825007045,Dewi Juliani 2024,Dewi Juliani 2024,287574,11
642603442612516,Muktar Efendi Harahap,Muktar efendi harahap,276007,10
106883058905796,Tanda Seru,Aditia Ramdani,262541,9
106918395489616,Golkar Institute SPKP,Yayasan Golkar Institut SPKP,261538,1
104622532469179,Populis,Aditia Ramdani,258308,9
1690573611256871,Pemerintah Kota Manado,Bryan Sumilat,251412,3
39684526732,Wanda Hamidah,Yayasan Infobox,249127,1
1481929088506672,Andini Effendi,Yayasan Infobox,247770,2
101433369464014,Talang Institute,Yayasan Infobox,246833,1
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,246562,3
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,245552,22
109152778730274,Miea Kusuma,Yayasan Infobox,245008,2
101077676255512,Yayasan Berbakti Semangat Indonesia,Yayasan Infobox,244330,1
349427302719,Bali Animal Welfare Association,These ads ran without a disclaimer,239912,2
101053572540830,Sahabat Inspirasi,Ganjar Nusantara Indonesia,227966,3
