Location name,Amount spent (NGN)
Abia State,4811
Adamawa State,10060
Akwa Ibom State,4961
Anambra State,7227
Bauchi State,5059
Bayelsa State,1026
Benué State,1964
Borno State,2828
Cross River State,3574
Delta State,13786
Ebonyi State,3197
Edo State,2506
Ekiti State,456
Enugu State,2779
Federal Capital Territory,48132
Gombe State,14179
Imo State,1792
Jigawa State,1024
Kaduna State,10228
Kano State,7891
Katsina State,5709
Kebbi State,422
Kogi State,1150
Kwara State,2235
Lagos State,154843
Nasarawa State,2552
Niger State,4795
Ogun State,3992
Ondo State,744
Osun State,1192
Oyo State,5228
Plateau State,5857
Rivers State,13391
Sokoto State,1920
Taraba State,1420
Unknown,≤100
Yobe State,1137
Zamfara State,1131
