Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
100350202335117,Benhur Abalos,Supporters and Friends of Benhur Abalos,9498,17
555503991321280,Geraldine Roman,Sulong Pilipinas,8790,4
75665129515,Go Negosyo,Go Negosyo,7231,12
969917173120995,Susan Yap,Sulong Pilipinas,7205,3
112787397193011,Gov Luigi Villafuerte,Sarah Jane Toralba,6363,2
109322002065194,EKIS,EKIS,6232,22
402678916424621,Province of CamSur,Sarah Jane Toralba,5279,2
100155158432600,The Health Center PH,The Best Healthctr Hub Ph,4084,5
197727873578501,Senator Migz Zubiri,Senator Migz Zubiri,2682,1
701517253228758,DOSTv,DOSTv,2457,6
547821942058909,Pilipinas Today,WFPH,2387,27
156752721080952,Sonny Angara,Sonny Angara,2226,5
101382091400564,Atty. Tony Roman,Sulong Pilipinas,1926,1
269175894020945,Pilipinas Today,WFPH,1874,21
1566478310240623,Francis Tolentino,Francis Tolentino PH,1866,8
263066651005055,"Ramon Bong Revilla, Jr.","Ramon Bong Revilla, Jr.",1862,1
351879361521039,Cong. Nonoy Libanan,Cong. Nonoy Libanan,1750,4
121096004646927,"Pablo John ""PJ"" Garcia",Friends of PJ Garcia,1630,5
126919387470670,Rufus B. Rodriguez,Rufus Bautista Rodriguez,1342,5
154386154617,WWF-Philippines,WWF-Philippines,1289,3
145265112840190,Kasama Ka Sa Pag-Unlad,Polsure,1223,4
509834572400899,Nancy Binay,Maria Lourdes Nancy Binay Angeles,1186,2
242562552438872,DOST-STARBOOKS,DOST-STARBOOKS,1184,4
113192036820162,Prof. Soc Anthony del Rosario,We Care Incorporated,1163,2
2101088876594734,MBS- Senior Deputy Speaker DOY Leachon,Ronalee Escondo Leachon,1054,8
109246084265823,Jay Manalo Ilagan,Chicklet Diaz,1014,1
1535594466686140,Aboitiz,Aboitiz,1008,1
257830240980106,Ronnie Dadivas,Roxas City United,1000,1
324393636342,Ernix Dionisio,Ernesto Mijares Dionisio Jr.,999,1
1922749344643532,The World Tonight,The World Tonight,964,12
100770729339080,Cong. Wilbert T. Lee,Wilbert Te Lee,961,4
325780477966356,Geo 24/7,Energy Development Corporation,908,5
186667502068528,Larry De Costa,WFPH,896,9
112952897079549,Energy Development Corporation,Energy Development Corporation,872,9
107768512296982,Century Tuna Saving Our Seas,Jessa Charvie Gomez Ganongan,811,3
103401515144127,Atty. Migs Nograles,Atty. Migs Nograles,809,28
107677344496516,Taytay Public Information Office,Taytay Public Information Office,803,1
102279788906574,EcoFlow PH-All Batteries,These ads ran without a disclaimer,784,1
895774137107433,Denver Chua,Unlad Cavite City,779,1
705660422953865,About Metro Pacific,WFPH,778,9
100667769054642,Buildbetterph Supporters,Clutchmedia PH,771,2
100170811672425,Pilipinas Today Kyusi,WFPH,707,8
113238417024056,Anna Mae Yu Lamentillo,Anna Mae Yu Lamentillo,673,1
223618785182273,Pilipinas,WFPH,634,6
102886345339673,Ben Patron,Ben Patron,571,1
107203148110541,Action Speaks Louder,These ads ran without a disclaimer,554,1
1581188235521874,Vice Mayor Atty. Sherwin N. Tugna,Vice Mayor Atty. Sherwin N. Tugna,551,2
104955062184489,BBM Movement,UEEI Consorcia Inc,530,1
1030706640379655,Pilipinas: Coal Free by 2030,Coal Free Philippines,521,2
110529111699411,PhilNews24,Polsure IT Services,517,1
166107624078770,Camanava News,Camanava News,501,4
107907055580308,Commusta.ph,These ads ran without a disclaimer,487,1
1332938170076882,Tatak QC,Polsure,451,2
684717488321242,Future Bridging Leaders Program,Future Bridging Leaders Program,448,2
113997578356101,Doc. Liza Ramoso Ong - Health Tips,These ads ran without a disclaimer,443,1
282619263537551,I Choose #MalayaAkongMaging,I Choose #MalayaAkongMaging,439,4
103485942191411,Juan Bulletin,Polsure,431,2
114540208900132,Erico Aris Aumentado,Erico Aris Aumentado,429,2
774149009339209,The Climate Reality Project Philippines,The Climate Reality Project Philippines,414,7
248113532485940,Alexie B. Tutor,Marjorie Galagar Escuadro,410,1
100305568984268,EdukNaman,Philippine Business for Education Inc.,401,6
1424468067858949,Vice Justin Gatuslao,Justin Dominic Silos Gatuslao,392,1
1840292579606063,Jam Jam Baronda,Jam Jam Baronda,378,2
1856611721228196,BH Bernadette Herrera,Bagong Henerasyon Partylist,377,3
154519977908138,Department of Social Welfare and Development,Department of Social Welfare and Development,373,1
558694637671776,Congressman  Pantaleon Alvarez,Congressman  Pantaleon Alvarez,358,1
739629346154083,BJ Biron,Prometheus,353,1
552261265271525,Robert Pacheco QC District III,These ads ran without a disclaimer,343,2
1329675533726600,Pilipinas Today QC,WFPH,330,4
301970723646514,WTF Radyo,Sartine,307,5
254225618540932,Love ng QC si Teacher,Polsure,306,1
407604493105131,"PBA: Politika, Basketbol, at Artista","PBA: Politika, Basketbol, at Artista",300,3
106066225014933,Board Member Dindo V. Dysico,Ferdinand Villaruz Dysico,277,1
608006729355847,Luisa Lloren Cuaresma,Benjamin Lloren Cuaresma Iii,256,1
111324628476603,REact PH: Choose Renewables,REact PH: Choose Renewables,255,1
107701168822758,Aksyon TV,Aksyon TV,252,1
212808672071102,MWSS Regulatory Office,MWSS Regulatory Office,241,1
102965912000814,Congressman Hori Horibata,Congressman Hori Horibata,229,1
103206424893248,Davao Consumer Movement,Davao Consumer Movement,219,1
321351771993681,Pilipinas Today Tweets,Sartine,215,2
113141712082464,Ruth Mariano Hernandez,Odraude Hernandez Alub,215,1
1674692332785202,"Miguel ""Migz"" Zayco",Miguel Montinola Zayco,208,2
956992934491805,Jaye Lacson-Noel,Jaye Lacson-Noel,207,1
106750144853075,Western Visayas Peace Advocates,Jake Delos Reyes,206,3
1647474828693396,Bong Go,Bong Go,203,2
1669303526443380,Trendsuertres Customized Promotional Items Baller Wrist Band Keychains etc.,Diomar Dizon Lagunero,203,1
101686682941298,KidneyCure.ph,These ads ran without a disclaimer,203,1
332536503771530,Vice Governor Karen Agapay,Edgar Habana Ruado,202,1
537843086665379,City Inquirer,City Inquirer,200,2
222187917795664,Social Watch Philippines,Social Watch Philippines,199,2
