Location name,Amount spent (NGN)
Abia State,9798
Adamawa State,10398
Akwa Ibom State,15216
Anambra State,10069
Bauchi State,7739
Bayelsa State,1743
Benué State,5263
Borno State,10412
Cross River State,3615
Delta State,10580
Ebonyi State,2473
Edo State,7391
Ekiti State,2976
Enugu State,7368
Federal Capital Territory,27066
Gombe State,6299
Imo State,5793
Jigawa State,3438
Kaduna State,25452
Kano State,55666
Katsina State,6454
Kebbi State,3945
Kogi State,4831
Kwara State,34220
Lagos State,83002
Nasarawa State,6834
Niger State,5799
Ogun State,5750
Ondo State,5131
Osun State,21569
Oyo State,30840
Plateau State,13130
Rivers State,28054
Sokoto State,8546
Taraba State,4563
Unknown,≤100
Yobe State,3066
Zamfara State,2022
