Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,621
Bangkok,9345
Bueng Kan,≤100
Buriram,246
Chachoengsao,200
Chai Nat,≤100
Chaiyaphum,167
Chanthaburi,142
Chiang Mai,474
Chiang Rai,257
Chon Buri,549
Chumphon,295
Kalasin,153
Kamphaeng Phet,121
Kanchanaburi,415
Khon Kaen,534
Krabi,355
Lampang,170
Lamphun,≤100
Loei,108
Lop Buri,150
Mae Hong Son,≤100
Maha Sarakham,184
Mukdahan,≤100
Nakhon Nayok,867
Nakhon Pathom,289
Nakhon Phanom,118
Nakhon Ratchasima,497
Nakhon Sawan,654
Nakhon Si Thammarat,1454
Nan,≤100
Narathiwat,151
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,620
Pathum Thani,526
Pattani,181
Phangnga,218
Phatthalung,305
Phayao,≤100
Phetchabun,144
Phetchaburi,559
Phichit,149
Phitsanulok,884
Phrae,≤100
Phuket,1133
Prachin Buri,196
Prachuap Khiri Khan,635
Ranong,113
Ratchaburi,265
Rayong,234
Roi Et,258
Sa Kaeo,103
Sakon Nakhon,208
Samut Prakan,338
Samut Sakhon,406
Samut Songkhram,≤100
Saraburi,253
Satun,139
Sing Buri,≤100
Sisaket,251
Songkhla,1613
Sukhothai,119
Suphan Buri,177
Surat Thani,4876
Surin,222
Tak,129
Trang,250
Trat,≤100
Ubon Ratchathani,401
Udon Thani,281
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,160
Yasothon,299
