Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
126567104406,Hyresgästföreningen,Hyresgästföreningen,25226,42
608975645850217,Vattenfall,Vattenfall Sverige,20816,13
111630258867610,Röda Korset,Röda Korset,11746,21
369582590803,Dagens ETC,ETC-tidningarna,10960,29
382243262003,Plan International Sverige,Plan International Sverige,9750,12
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),6664,35
114262485262083,Konsumentverket,Konsumentverket,5696,7
109886133732943,RESCUE - Sverige,RESCUE - Sverige,4844,2
95735961890,Greenpeace Sverige,Greenpeace Sverige,4833,108
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,4472,33
72659261793,Rädda Barnen,Rädda Barnen,4323,77
162985227114132,Skellefteå Kraft,Skellefteå Kraft,4136,6
59324455950,UNICEF Sverige,UNICEF Sverige,3704,16
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,3385,29
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,3144,14
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,2976,12
186513678039755,Fortum,Fortum Sverige,2905,17
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",2739,4
19746853632,Djurens Rätt,Djurens Rätt,2610,3
195379633820701,Svenskt Kött,Svenskt Kött,2559,18
42676805259,Diakonia,Diakonia,2319,9
643137272398136,Sverige för UNHCR,Sverige för UNHCR,2318,10
175656912484553,Unionen,Unionen,2075,29
252516142116820,Abir Al-Sahlani,Abir Al-Sahlani,2016,2
18880778360,ActionAid Sweden,ActionAid Sweden,1831,8
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,1755,35
185459445735,Umeå universitet,Umeå universitet,1569,13
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,1516,6
106579105171694,ETC nyhetsmagasin,ETC Media AB,1512,2
102335578503312,Linköpingslistan,Linköpingslistan,1478,1
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,1425,8
161213770567846,Operation Smile Sverige,Operation Smile Sverige,1353,2
179931025357058,Kommunal,Kommunal,1313,6
8040892957,Socialdemokraterna,Socialdemokraterna,1270,8
102603159402551,Inner Connections,Kulturhuset i Ytterjärna AB,1221,4
614939535271869,Tobias Baudin,Socialdemokraterna,1170,6
111699453757094,Soft Towel Games,These ads ran without a disclaimer,1147,3
153386171353294,LRF Västra Sverige,LRF Västra Sverige,1105,2
506685746198996,DebattNytt,Bror Carl Jakobsson,1094,1
296423575695,Afrikagrupperna,Afrikagrupperna,1069,17
110752522319286,Volontärbyrån,Volontärbyrån,1042,3
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,1031,38
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,1021,4
2337692372925538,Reformisterna,Reformisterna,939,2
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,888,22
314872662206,Ekonomifakta,Ekonomifakta,874,38
112338252157105,Viskadalen,Viskadalen,858,2
351522355766,PMU,PMU Interlife,765,2
107898832590939,European Commission,European Commission,709,2
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,682,16
163305633746125,Karneval förlag,Holviks,652,3
237146235237,Timbro,Tankesmedjan Timbro,639,37
153270724787,Amnesty International Sverige,Amnesty International Sverige,622,23
103296115466644,Skattenytta,Kommissionen för Skattenytta,611,7
1531320107133721,Syre,Dagens O2 AB,587,4
547965058654664,MyRight - Empowers people with disabilities,MyRight - Empowers people with disabilities,587,2
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,564,4
193309030695120,UR,UR,550,5
208751565805849,Stiftelsen Expo,Stiftelsen Expo,531,3
267640803634611,Moderaterna i Västerbotten,Moderaterna i Västerbotten,529,2
328754490337,Vårdförbundet,Vårdförbundet,525,30
178193355556765,Nordström Assistans AB,Nordström Assistans AB,521,4
189699774387238,"Andreas Sturesson, kommunalråd",Kristdemokraterna Jönköpings Kommun,501,1
412192732132640,ECPAT Sverige,ECPAT Sverige,499,10
223302541061447,Nema Problema,Nema Problema,499,27
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,490,18
127063960674693,Svenska Freds- och Skiljedomsföreningen,Svenska Freds- och Skiljedomsföreningen,483,4
154887827868890,Sörmlands Sparbank,Sörmlands Sparbank,478,3
181590825305317,COWI Sverige,COWI Sverige,477,8
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,477,3
309283471958,Hyresgästföreningen Region Sydost,Hyresgästföreningen Region Sydost,466,23
109098320518639,Dogoodel.,DoGood EL,452,6
212604496324,Fackförbundet ST,Fackförbundet ST,450,53
200480966638039,Supremacy 1914,These ads ran without a disclaimer,450,2
769689373178831,Sjukvårdspartiet Västernorrland,Sjukvårdspartiet Västernorrland,443,1
320930784643530,Storasyster,Storasyster,442,1
126245644082634,Malmömoderaterna,Malmömoderaterna,425,3
166406746310,Resumé,Resumé,403,1
230255653832332,Al-Ayn for Social Care Sweden,Al Ayn For Social Care Sweden,397,4
356032977210,Vi-skogen,Vi-skogen,392,11
1402657726653154,Hallå konsument,Konsumentverket,390,4
381175618637391,Liberalerna Kronoberg,Liberalerna,381,2
45101268520,SSU,SSU,379,11
198547346848470,Vänsterpartiet Linköping,Holmberg Erik Dennis Tobias,376,3
24574889995,Charlie Weimers MEP,Charlie Weimers,372,1
2002046333202650,Bli nämndeman,Bli nämndeman,372,5
212284955495610,Elektrikerna,Elektrikerna,357,6
273053169937029,ClimateHero,ClimateHero,356,7
