Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
107217383988190,מגזין אפוק,Epoch Magazine,3251,38
161096657252221,שוברים שתיקה,שוברים שתיקה,1551,38
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,1252,47
1073548259341247,לובי 99,לובי 99,1061,3
103183301914371,כוח של אמא,Nataly Milner,1007,4
266097474067652,בני גנץ - Benny Gantz,מפלגת כחול לבן,918,2
311390516402185,מפלגת כחול לבן,מפלגת כחול לבן,875,1
204780362875106,מקור ראשון,מקור ראשון,840,48
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,726,3
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר הוצאה לאור,702,35
155300937864628,המרכז להעצמת האזרח,המרכז להעצמת האזרח,698,3
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,601,3
1662907067255622,איגוד הגז הטבעי,Unik,596,4
124894077550811,ישראל חופשית,ישראל חופשית,594,6
137449656335533,Amnesty International Israel,Amnesty International Israel,591,12
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,587,9
767262423350854,פורום הדיור הציבורי,Danny Gigi,487,3
140536699429565,המכון למחקרי ביטחון לאומי,המכון למחקרי ביטחון לאומי,459,6
337591096309750,Embassy of Ukraine in the State of Israel,Embassy of Ukraine in the State of Israel,402,2
536794249813012,תומר גלאם - Tomer Glam,עיריית אשקלון,379,2
162089177185799,התאחדות התעשיינים בישראל,התאחדות התעשיינים בישראל,374,1
604890186681585,מור ויצמן,Mor Weitzman,366,1
109708842392860,מרכז השלטון המקומי בישראל,מרכז השלטון המקומי בישראל,353,9
682178658591430,נחמה בוגין,נחמה בוגין,349,2
104222621115858,הביטחוניסטים,הביטחוניסטים,349,3
1392138171047822,"ארגון נכי צה""ל","ארגון נכי צה""ל",348,2
371986449521679,הקרן למורשת הכותל המערבי,Tal Sanderoni,346,28
564755520233941,משרד מבקר המדינה ונציב תלונות הציבור,משרד מבקר המדינה ונציב תלונות הציבור,342,2
325131448440639,מפלגת נעם,מפלגת נעם,333,33
102660785992341,צדק צדק תרדוף,Omer Feldman,329,2
123065247744905,ידיעות ספרים שאוהבים,אבי קראוס,323,5
100614131548339,עמוס שפירא - ראש אחר לתל אביב-יפו,Amos Shapira,317,3
107926607591864,זוּלת - לשוויון וזכויות אדם,זוּלת - לשוויון וזכויות אדם,316,6
1197610913585169,אורנה ברביבאי - Orna Barbivay,Or Ben Dori,305,2
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",304,29
108787681841168,רישיון נשק בקליק,Michael Michel Levi,303,2
101600712771452,ענבל חרמוני,ענבל חרמוני,300,1
1619338854980208,יוסי דגן,המועצה האיזורית שומרון,300,1
283691218336732,كيان تنظيم نسوي Kayan - Palestinian Feminist Organization,كيان تنظيم نسوي Kayan - Palestinian Feminist Organization,298,3
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,263,2
129709433742187,Shalem College - המרכז האקדמי שלם,Shalem College - המרכז האקדמי שלם,250,3
213801788683219,עיריית ראש העין,עיריית ראש העין,239,2
2275137472764041,התאחדות הקבלנים בוני הארץ,התאחדות הקבלנים בוני הארץ,222,3
112791015410812,Danny Danon - דני דנון,Danny Danon - דני דנון,219,1
172654247853282,Shenhav musanbar,Shenhav Musanbar,217,6
994811120638154,כרם נבות كرم نابوت,כרם נבות كرم نابوت,205,4
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,203,15
1822651321364643,121 - מנוע לשינוי חברתי,121 - מנוע לשינוי חברתי,202,2
224993517556428,Da'am Party - מפלגת דעם - حزب دعم,Da'am Party - מפלגת דעם - حزب دعم,201,10
1095454130528850,עיריית מגדל העמק,עיריית מגדל העמק,200,1
104743111658191,Ron Ben Shushan,רון בן שושן,172,8
100849682799685,Omri saada,Omri Saada,172,2
1541559162728136,רדיו תשעים,רדיו תשעים,172,10
474051222631952,Think&Drink Different,Think&Drink Different,171,4
356859544473040,קירות שקופים,רועי שפרניק,170,2
1921160331531297,Act. تغيير اعلامي,סיכוי אופוק - سيكوي أفق,157,2
33942762466,Shalom Hartman Institute מכון שלום הרטמן,Shalom Hartman Institute - מכון שלום הרטמן,156,12
192616227546453,עיריית גבעתיים,עיריית גבעתיים,155,1
574030775948002,Ohr Torah Stone - אור תורה סטון,Ohr Torah Stone - אור תורה סטון,154,3
134896023193138,יוזמת ז'נבה,יוזמת ז'נבה,152,3
1484712825147171,Tomer Warsha Adv • Immigration to Israel • Aliya • Immigrants • Citizenship,"משרד עו""ד תומר ורשה",152,6
361464970647064,זהר בלום,זהר בלום,147,2
109523830757998,דמוקרטtv,דרכנו,143,4
303720457847,לשכת רואי חשבון בישראל,לשכת רואי חשבון בישראל,142,2
126099790738165,אנימלס,אנימלס,140,3
112910535448250,תנועת רגבים,תנועת רגבים,138,3
113789568181754,איציק דנינו - ראש העיר שלי,איציק דנינו,135,4
2051373538305014,"קרן שח""ף","קרן שח""ף",134,4
104015018553973,The Genesis Prize - פרס בראשית,Genesis Prize Foundation,131,2
