Page ID,Page name,Disclaimer,Amount spent (XAF),Number of ads in Library
155174084508744,Banque mondiale,These ads ran without a disclaimer,603,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
127223393628282,Ywj-052,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
104368422598347,Card VPN,These ads ran without a disclaimer,≤100,1
112314738439063,Hon Elisha Matambo,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
368119983327926,العربي الجديد,These ads ran without a disclaimer,≤100,1
110223380476268,Génération Sans Tabac,These ads ran without a disclaimer,≤100,1
