Location name,Amount spent (NGN)
Abia State,2017
Adamawa State,967
Akwa Ibom State,1020
Anambra State,1187
Bauchi State,966
Bayelsa State,1352
Benué State,653
Borno State,775
Cross River State,881
Delta State,934
Ebonyi State,272
Edo State,794
Ekiti State,332
Enugu State,1430
Federal Capital Territory,7501
Gombe State,550
Imo State,1098
Jigawa State,281
Kaduna State,3259
Kano State,3826
Katsina State,715
Kebbi State,198
Kogi State,2741
Kwara State,1165
Lagos State,22428
Nasarawa State,785
Niger State,1372
Ogun State,1100
Ondo State,696
Osun State,1128
Oyo State,3356
Plateau State,1583
Rivers State,6216
Sokoto State,553
Taraba State,621
Unknown,≤100
Yobe State,396
Zamfara State,345
