Location name,Amount spent (EGP)
Al Sharqia Governorate,3946
Alexandria Governorate,4599
Aswan Governorate,636
Asyut Governorate,1435
Beheira Governorate,2019
Beni Suef Governorate,1027
Cairo Governorate,10946
Dakahlia Governorate,4369
Damietta Governorate,1132
Faiyum Governorate,1161
Gharbia Governorate,3118
Giza Governorate,2959
Ismailia Governorate,977
Kafr el-Sheikh Governorate,1584
Luxor Governorate,718
Matrouh Governorate,202
Minya Governorate,1481
Monufia Governorate,2052
New Valley Governorate,1691
North Sinai Governorate,322
Port Said Governorate,740
Qalyubia Governorate,2420
Qena Governorate,971
Red Sea Governorate,421
Sohag Governorate,1519
South Sinai Governorate,169
Suez Governorate,531
Unknown,≤100
