Location name,Amount spent (THB)
Amnat Charoen,111
Ang Thong,≤100
Ayutthaya,235
Bangkok,7125
Bueng Kan,116
Buriram,344
Chachoengsao,197
Chai Nat,≤100
Chaiyaphum,240
Chanthaburi,144
Chiang Mai,657
Chiang Rai,305
Chon Buri,561
Chumphon,189
Kalasin,183
Kamphaeng Phet,314
Kanchanaburi,223
Khon Kaen,580
Krabi,187
Lampang,186
Lamphun,116
Loei,165
Lop Buri,175
Mae Hong Son,≤100
Maha Sarakham,209
Mukdahan,160
Nakhon Nayok,≤100
Nakhon Pathom,226
Nakhon Phanom,177
Nakhon Ratchasima,816
Nakhon Sawan,260
Nakhon Si Thammarat,563
Nan,122
Narathiwat,255
Nong Bua Lam Phu,111
Nong Khai,116
Nonthaburi,378
Pathum Thani,322
Pattani,322
Phangnga,≤100
Phatthalung,189
Phayao,129
Phetchabun,197
Phetchaburi,570
Phichit,196
Phitsanulok,1237
Phrae,121
Phuket,163
Prachin Buri,138
Prachuap Khiri Khan,214
Ranong,≤100
Ratchaburi,209
Rayong,322
Roi Et,239
Sa Kaeo,167
Sakon Nakhon,334
Samut Prakan,211
Samut Sakhon,186
Samut Songkhram,≤100
Saraburi,195
Satun,118
Sing Buri,≤100
Sisaket,320
Songkhla,613
Sukhothai,167
Suphan Buri,221
Surat Thani,433
Surin,318
Tak,146
Trang,221
Trat,≤100
Ubon Ratchathani,483
Udon Thani,370
Unknown,≤100
Uthai Thani,≤100
Uttaradit,117
Yala Province,211
Yasothon,529
