Page ID,Page name,Disclaimer,Amount spent (JMD),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1308,2
111367981869928,Alric Campbell,Alric Campbell,695,1
156282627737148,Rachel Rodgers,These ads ran without a disclaimer,150,2
103968065823281,Stevosa's Corner,These ads ran without a disclaimer,≤100,1
241664783089008,Xin,These ads ran without a disclaimer,≤100,1
100689636310150,Waokeem-EU,These ads ran without a disclaimer,≤100,2
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,1
101822272617934,Network Booster,These ads ran without a disclaimer,≤100,1
102416722029565,"Innovate4Climate, I4C 2023 - Bilbao",These ads ran without a disclaimer,≤100,1
