Page ID,Page name,Disclaimer,Amount spent (NZD),Number of ads in Library
337477311451,New Zealand Labour Party,NZ Parliamentary Service on behalf of New Zealand Labour Party,7688,7
116362033529,Amnesty International Aotearoa New Zealand,Amnesty International Aotearoa New Zealand,1952,33
183355881680015,New Zealand National Party,New Zealand National Party,1689,161
337477311451,New Zealand Labour Party,NZ Parliamentary Service on behalf of New Zealand Labour Party,1357,2
173912362663564,Electoral Commission NZ,Electoral Commission NZ,1269,4
104174354363267,Christopher Luxon,New Zealand National Party,984,14
11870725774,Greenpeace Aotearoa,Greenpeace NZ,914,4
371913763842,Te Kāhui Tika Tangata Human Rights Commission,Te Kāhui Tika Tangata Human Rights Commission,468,6
110613705109260,Independent Electoral Review - He Arotake Pōtitanga Motuhake,Independent Electoral Review,359,3
120703687692577,Mining Means Progress,Straterra Limited,314,13
37547788323,UNICEF Aotearoa,UNICEF Aotearoa,277,3
92043134118,ACT,ACT,248,15
100272638114473,Tim Costley for Ōtaki,Ōtaki National Party,246,8
114961458268104,The Integrity Institute,The Integrity Institute,223,5
408747529491004,Department of Conservation,Department of Conservation,184,17
102887312771425,Greg Fleming,Greg Fleming for Maungakiekie,171,35
1966234280281774,Brooke van Velden MP,ACT,152,2
106952008971755,Catherine Wedd for Tukituki,Catherine Wedd for Tukituki,147,2
106157572429609,Cameron Brewer for Upper Harbour,Cameron Brewer for Upper Harbour,140,9
113846130364869,Rima Nakhle for Takanini,Rima Nakhle for Takanini,134,19
100278988277160,Simon Watts MP for North Shore,North Shore National Party,122,2
179342172711193,Dan Bidois,Dan Bidois for Northcote,112,1
446847072770642,SUPER SAVE Hamilton,These ads ran without a disclaimer,106,1
112431991697294,Animal Justice Party Aotearoa NZ,Animal Justice Party Aotearoa NZ,≤100,1
106159648977980,Suze Redmayne for Rangitikei,Suze Redmayne for Rangitikei,≤100,2
363940644005754,Shanan Halbert- MP for Northcote,NZ Parliamentary Service on behalf of Shanan Halbert MP,≤100,1
1281262645251755,Hobson's Pledge,Hobson's Pledge,≤100,8
121956660842544,Grant McCallum,New Zealand National Party (Northland Electorate),≤100,13
