Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
102988331717955,Partido Humanista de Angola,Partido Humanista de Angola,2390,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,558,2
107801918890922,Masfamu Angola,Masfamu Angola,513,1
117217181279013,Inovae,These ads ran without a disclaimer,513,1
1767096530199949,Zhejiang University,These ads ran without a disclaimer,≤100,1
100627069630168,Cecília Martins,These ads ran without a disclaimer,≤100,2
2173309069660658,Administração do Distrito Urbano do Neves Bendinha,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
100979089555293,Jose Bedoya,These ads ran without a disclaimer,≤100,8
115602001493333,Z-50-pro,These ads ran without a disclaimer,≤100,1
104444729065513,Victoria Segovia,These ads ran without a disclaimer,≤100,5
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,5
153063591397681,Amazon Web Services,These ads ran without a disclaimer,≤100,1
111595864923192,Aasi Tahir Siddique,These ads ran without a disclaimer,≤100,1
101584952237158,Fer Barcelar,These ads ran without a disclaimer,≤100,1
120498394320803,C301-40,These ads ran without a disclaimer,≤100,1
102552429455951,C301-41,These ads ran without a disclaimer,≤100,1
