Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
197770137236410,日本維新の会,日本維新の会,441656,155
1467222293606141,識学,These ads ran without a disclaimer,254758,7
684161888345926,西日本新聞me,西日本新聞me,135602,85
1904070096535109,スマート選挙,株式会社センキョ,114747,36
113784721685783,チーム北区みらい／東京都北区,Satomi Ichikawa,102367,11
651801698258818,NewsTV,NewsTV,78489,18
253264005099427,世田谷区,世田谷区,75887,1
475681929154100,国連UNHCR協会,国連UNHCR協会,40313,16
117914038333112,自由民主党 大阪府支部連合会,自由民主党大阪府支部連合会,26751,1
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,16482,13
101983646189956,金沢選挙管理委員会,尾上智美,13455,1
200121530091286,いただきへの、はじまり　富士市,富士市,11978,12
105817000162440,大分県選挙管理委員会,大分県選挙管理委員会,11741,5
253908565460094,アース製薬,These ads ran without a disclaimer,11635,1
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,10205,1
103914976352692,選挙ドットコム,イチニ株式会社,9353,2
853050658125901,マイリノ,These ads ran without a disclaimer,7134,1
102468941548369,宮城県民共済,宮城県民共済,6698,4
168191243202719,ドットジェイピー,NPO法人ドットジェイピー,6137,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,4703,2
311759352350356,立憲民主党鳥取県第2区総支部,Shunji Yuhara,4387,1
116519890473491,いわて自民党,いわて自民党,4341,1
110956371711998,たった3ヶ月でキャッシュフローが劇的改善,These ads ran without a disclaimer,2928,2
108136530968730,おねがい社長！,These ads ran without a disclaimer,2788,1
140329329898233,しょうゆう事務所,しょうゆう事務所,2726,1
104124041821457,Beauty Channel,These ads ran without a disclaimer,2609,1
110391191812419,sushi.otsuki,These ads ran without a disclaimer,1527,1
190352677763668,株式会社東京コンサルティングファーム,These ads ran without a disclaimer,1424,1
106681281618761,イオナR,These ads ran without a disclaimer,1388,1
176246052410979,メディカ出版,These ads ran without a disclaimer,1344,2
110716575672893,Rosasen,These ads ran without a disclaimer,824,1
1677419399148240,たはら亮 後援会（朝霞市）,Ryo  Tahara,654,1
104533215755145,ZOE_Japan,ZOE Japan,588,1
1750145328629888,総合型選抜専門塾 ＡＯＩ,These ads ran without a disclaimer,494,1
1920918581534929,Connect Plus,Connect Plus,262,2
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,200,1
150421841746165,創世カウンシル,Kazuya Nomura,197,1
289931618238873,法輪功は素晴らしいですが、なぜ迫害されたのか,Luu Nga,192,1
393238474375070,Bún Chả Betomen - ブンチャー,These ads ran without a disclaimer,136,1
1712661475627885,京都大学学術出版会【officialページ】,These ads ran without a disclaimer,124,1
1607696895913679,日経プラス９サタデー　ニュースの疑問,Takamasa Kikawa,113,1
243143172757375,情報ドットコム（K.Oshima）,大島 和彦,≤100,1
236759056348950,早稲田塾,These ads ran without a disclaimer,≤100,2
1010178119029123,Reformas de Casas - Marcelo,These ads ran without a disclaimer,≤100,1
108612752015399,xts_shimoheihei,These ads ran without a disclaimer,≤100,1
6115848166,Nature Portfolio,These ads ran without a disclaimer,≤100,1
128455130600150,日本成人病予防協会,These ads ran without a disclaimer,≤100,2
104052452578728,gemini__mi,These ads ran without a disclaimer,≤100,1
104444114710962,발라랩,These ads ran without a disclaimer,≤100,1
536262416434799,NewsPicks（ニューズピックス）,These ads ran without a disclaimer,≤100,1
100219608332683,아모레퍼시픽 Amorepacific,These ads ran without a disclaimer,≤100,1
105358418121058,マンガがうがう,These ads ran without a disclaimer,≤100,2
695186327565380,Pour Les Jeunes,These ads ran without a disclaimer,≤100,2
104517365928280,People's Daily Online Thai,These ads ran without a disclaimer,≤100,1
107990898754094,Moomoo Japan,These ads ran without a disclaimer,≤100,1
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,1
107376701711982,PHINMA Maayo,These ads ran without a disclaimer,≤100,1
103902772675099,Paola Noboa,These ads ran without a disclaimer,≤100,1
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,1
571443836691356,Fossil Free Japan,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,1
102207552798601,Youth clicks,These ads ran without a disclaimer,≤100,1
112864228133921,Funnies Now - Stories,These ads ran without a disclaimer,≤100,1
100529575162546,Inycon Wines,These ads ran without a disclaimer,≤100,1
