Location name,Amount spent (NGN)
Abia State,3043
Adamawa State,1653
Akwa Ibom State,1025
Anambra State,1560
Bauchi State,1491
Bayelsa State,322
Benué State,1002
Borno State,2553
Cross River State,710
Delta State,6147
Ebonyi State,310
Edo State,1205
Ekiti State,522
Enugu State,1154
Federal Capital Territory,9305
Gombe State,888
Imo State,5957
Jigawa State,365
Kaduna State,4862
Kano State,8370
Katsina State,1152
Kebbi State,360
Kogi State,941
Kwara State,2424
Lagos State,25224
Nasarawa State,857
Niger State,2055
Ogun State,1390
Ondo State,1445
Osun State,1501
Oyo State,9719
Plateau State,2099
Rivers State,3188
Sokoto State,1196
Taraba State,1168
Unknown,≤100
Yobe State,832
Zamfara State,763
