Location name,Amount spent (NGN)
Abia State,32328
Adamawa State,13669
Akwa Ibom State,23018
Anambra State,16390
Bauchi State,9347
Bayelsa State,4984
Benué State,10731
Borno State,12960
Cross River State,13999
Delta State,19806
Ebonyi State,3635
Edo State,19776
Ekiti State,4540
Enugu State,25454
Federal Capital Territory,51753
Gombe State,12928
Imo State,22934
Jigawa State,3016
Kaduna State,34628
Kano State,72887
Katsina State,10604
Kebbi State,2599
Kogi State,12584
Kwara State,11664
Lagos State,124299
Nasarawa State,7609
Niger State,13522
Ogun State,27146
Ondo State,7665
Osun State,9698
Oyo State,40697
Plateau State,22908
Rivers State,88585
Sokoto State,9151
Taraba State,7044
Unknown,≤100
Yobe State,4634
Zamfara State,3953
