Location name,Amount spent (NGN)
Abia State,1734
Adamawa State,1327
Akwa Ibom State,1981
Anambra State,1372
Bauchi State,1136
Bayelsa State,1741
Benué State,2239
Borno State,2675
Cross River State,4252
Delta State,2697
Ebonyi State,359
Edo State,2818
Ekiti State,386
Enugu State,1386
Federal Capital Territory,10125
Gombe State,611
Imo State,698
Jigawa State,303
Kaduna State,3999
Kano State,5198
Katsina State,1007
Kebbi State,209
Kogi State,690
Kwara State,2585
Lagos State,25769
Nasarawa State,583
Niger State,1371
Ogun State,1532
Ondo State,1418
Osun State,2099
Oyo State,7477
Plateau State,2391
Rivers State,3136
Sokoto State,1447
Taraba State,656
Unknown,≤100
Yobe State,711
Zamfara State,350
