Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
107385241806,Plan International Canada,Plan International Canada,9252,319
194782249201,Canadian Association of Petroleum Producers (CAPP),Canadian Association of Petroleum Producers,7798,59
104386908631938,Pathways Alliance,Pathways Alliance,6052,6
281999881613,World Vision Canada,World Vision Canada,5631,41
167800183238142,YourAlberta (Government of Alberta),Government of Alberta,4831,32
195227957225519,Dairy Farmers of Canada,Dairy Farmers of Canada,3930,10
152542414874330,CIBC,CIBC,3323,2
605582973434788,Doctors Without Borders/Medecins Sans Frontieres (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),2453,34
115835521825983,UNHCR Canada,UNHCR Canada,1895,101
261752512263,Canadian Red Cross,Canadian Red Cross,1842,32
245013842275891,CUPE Alberta,CUPE Alberta,1754,28
1097840090260804,National Police Federation,National Police Federation,1630,85
352229158239956,"Stéphane Boyer, maire de Laval",Mouvement lavallois,1312,2
16761458703,University of British Columbia,University of British Columbia,1272,70
106917558391358,Alliance Nouvelles voies,Pathways Alliance,1153,2
6695079125,TD,TD Bank Canada,884,18
24235835555,Kids Help Phone,Kids Help Phone,845,21
106172275200668,GetBuilding,GetBuilding,783,1
109045051805492,Made The Canadian Way,Canadian Energy Centre,763,4
104853517861788,Surrey’s Say on Policing,National Police Federation,757,17
104128641336287,Indigenous Resource Network,Indigenous Resource Network,739,56
264035282685,"Commission des normes, de l'équité, de la santé et de la sécurité du travail","Commission des normes, de l’équité, de la santé et la sécurité du travail",736,8
155609655007428,United Conservative Party of Alberta,United Conservative Party of Alberta,698,5
1671097993122619,Children Believe,Children Believe,692,40
172145722975250,PressProgress,PressProgress,680,76
584595054966592,Royal Victoria Regional Health Centre Foundation,Royal Victoria Regional Health Centre Foundation,663,108
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,639,41
98963682935,Canadian Feed The Children,Canadian Feed The Children,631,7
9333642607,TELUS,TELUS,582,3
154462904588700,Enbridge Gas,Enbridge Gas,521,45
312380892116930,Cuso International,Cuso International,514,6
139019864276,Oxfam Canada,Oxfam Canada,499,23
114849617772737,Care2 Canada,Press Pause Collective,492,13
1530293140634544,"No Options, No Choice","No Options, No Choice Project",490,9
113297740077607,Canadian Energy Centre,Canadian Energy Centre,455,97
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,444,41
19750184960,Greenpeace Canada,Greenpeace Canada,434,213
