Location name,Amount spent (NGN)
Abia State,2064
Adamawa State,730
Akwa Ibom State,1028
Anambra State,979
Bauchi State,649
Bayelsa State,1063
Benué State,379
Borno State,703
Cross River State,524
Delta State,53942
Ebonyi State,287
Edo State,780
Ekiti State,322
Enugu State,890
Federal Capital Territory,7929
Gombe State,1894
Imo State,891
Jigawa State,201
Kaduna State,2417
Kano State,3299
Katsina State,686
Kebbi State,≤100
Kogi State,444
Kwara State,858
Lagos State,22251
Nasarawa State,477
Niger State,1014
Ogun State,635
Ondo State,466
Osun State,696
Oyo State,3692
Plateau State,1187
Rivers State,5251
Sokoto State,1144
Taraba State,577
Unknown,≤100
Yobe State,540
Zamfara State,388
