Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,229
Bangkok,6469
Bueng Kan,≤100
Buriram,212
Chachoengsao,202
Chai Nat,≤100
Chaiyaphum,158
Chanthaburi,125
Chiang Mai,853
Chiang Rai,376
Chon Buri,765
Chumphon,187
Kalasin,173
Kamphaeng Phet,876
Kanchanaburi,347
Khon Kaen,498
Krabi,193
Lampang,203
Lamphun,113
Loei,120
Lop Buri,164
Mae Hong Son,≤100
Maha Sarakham,167
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,232
Nakhon Phanom,122
Nakhon Ratchasima,509
Nakhon Sawan,208
Nakhon Si Thammarat,455
Nan,105
Narathiwat,226
Nong Bua Lam Phu,≤100
Nong Khai,101
Nonthaburi,498
Pathum Thani,419
Pattani,360
Phangnga,119
Phatthalung,274
Phayao,133
Phetchabun,149
Phetchaburi,172
Phichit,158
Phitsanulok,1164
Phrae,≤100
Phuket,374
Prachin Buri,123
Prachuap Khiri Khan,177
Ranong,106
Ratchaburi,233
Rayong,310
Roi Et,192
Sa Kaeo,101
Sakon Nakhon,218
Samut Prakan,276
Samut Sakhon,268
Samut Songkhram,≤100
Saraburi,189
Satun,193
Sing Buri,≤100
Sisaket,210
Songkhla,1886
Sukhothai,262
Suphan Buri,157
Surat Thani,596
Surin,212
Tak,227
Trang,196
Trat,116
Ubon Ratchathani,354
Udon Thani,293
Unknown,≤100
Uthai Thani,≤100
Uttaradit,105
Yala Province,259
Yasothon,≤100
