Location name,Amount spent (NGN)
Abia State,2934
Adamawa State,1519
Akwa Ibom State,3289
Anambra State,2312
Bauchi State,1315
Bayelsa State,914
Benué State,1269
Borno State,1630
Cross River State,911
Delta State,6222
Ebonyi State,361
Edo State,2971
Ekiti State,636
Enugu State,3205
Federal Capital Territory,11414
Gombe State,611
Imo State,1614
Jigawa State,347
Kaduna State,6100
Kano State,9816
Katsina State,1253
Kebbi State,381
Kogi State,1016
Kwara State,3202
Lagos State,23949
Nasarawa State,1082
Niger State,1966
Ogun State,1704
Ondo State,1272
Osun State,1972
Oyo State,6395
Plateau State,3038
Rivers State,5336
Sokoto State,1116
Taraba State,2162
Unknown,≤100
Yobe State,630
Zamfara State,736
