Location name,Amount spent (NGN)
Abia State,1163
Adamawa State,686
Akwa Ibom State,771
Anambra State,2099
Bauchi State,566
Bayelsa State,267
Benué State,791
Borno State,1064
Cross River State,845
Delta State,3255
Ebonyi State,260
Edo State,1315
Ekiti State,439
Enugu State,1193
Federal Capital Territory,7562
Gombe State,1176
Imo State,795
Jigawa State,233
Kaduna State,2848
Kano State,5375
Katsina State,923
Kebbi State,262
Kogi State,345
Kwara State,1099
Lagos State,30314
Nasarawa State,462
Niger State,709
Ogun State,795
Ondo State,698
Osun State,667
Oyo State,4340
Plateau State,5780
Rivers State,2591
Sokoto State,901
Taraba State,370
Unknown,≤100
Yobe State,482
Zamfara State,368
