Location name,Amount spent (NGN)
Abia State,1719
Adamawa State,1165
Akwa Ibom State,1207
Anambra State,1188
Bauchi State,836
Bayelsa State,324
Benué State,2455
Borno State,1336
Cross River State,718
Delta State,2774
Ebonyi State,291
Edo State,1541
Ekiti State,534
Enugu State,1117
Federal Capital Territory,11962
Gombe State,1498
Imo State,1011
Jigawa State,1671
Kaduna State,5277
Kano State,5105
Katsina State,832
Kebbi State,331
Kogi State,2020
Kwara State,1869
Lagos State,27027
Nasarawa State,755
Niger State,1070
Ogun State,1075
Ondo State,1126
Osun State,1127
Oyo State,6063
Plateau State,4146
Rivers State,5286
Sokoto State,1272
Taraba State,579
Unknown,≤100
Yobe State,713
Zamfara State,461
