Location name,Amount spent (NGN)
Abia State,1021
Adamawa State,735
Akwa Ibom State,651
Anambra State,823
Bauchi State,729
Bayelsa State,488
Benué State,1241
Borno State,459
Cross River State,508
Delta State,2249
Ebonyi State,189
Edo State,615
Ekiti State,230
Enugu State,1124
Federal Capital Territory,5746
Gombe State,426
Imo State,716
Jigawa State,211
Kaduna State,2740
Kano State,3213
Katsina State,557
Kebbi State,142
Kogi State,3319
Kwara State,850
Lagos State,15553
Nasarawa State,573
Niger State,1124
Ogun State,908
Ondo State,547
Osun State,443
Oyo State,2394
Plateau State,1425
Rivers State,7329
Sokoto State,383
Taraba State,386
Unknown,≤100
Yobe State,293
Zamfara State,2450
