Location name,Amount spent (NGN)
Abia State,1554
Adamawa State,1096
Akwa Ibom State,418
Anambra State,1761
Bauchi State,1076
Bayelsa State,805
Benué State,370
Borno State,1012
Cross River State,269
Delta State,1940
Ebonyi State,257
Edo State,970
Ekiti State,299
Enugu State,1601
Federal Capital Territory,9682
Gombe State,486
Imo State,902
Jigawa State,249
Kaduna State,3209
Kano State,6436
Katsina State,805
Kebbi State,168
Kogi State,453
Kwara State,986
Lagos State,19285
Nasarawa State,461
Niger State,1463
Ogun State,850
Ondo State,356
Osun State,1427
Oyo State,3344
Plateau State,1423
Rivers State,1624
Sokoto State,1059
Taraba State,598
Unknown,393
Yobe State,459
Zamfara State,404
