Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,354
Bangkok,8212
Bueng Kan,121
Buriram,453
Chachoengsao,269
Chai Nat,≤100
Chaiyaphum,269
Chanthaburi,205
Chiang Mai,980
Chiang Rai,401
Chon Buri,1329
Chumphon,217
Kalasin,224
Kamphaeng Phet,361
Kanchanaburi,273
Khon Kaen,684
Krabi,245
Lampang,249
Lamphun,172
Loei,191
Lop Buri,245
Mae Hong Son,≤100
Maha Sarakham,235
Mukdahan,121
Nakhon Nayok,≤100
Nakhon Pathom,303
Nakhon Phanom,180
Nakhon Ratchasima,869
Nakhon Sawan,308
Nakhon Si Thammarat,519
Nan,137
Narathiwat,188
Nong Bua Lam Phu,109
Nong Khai,162
Nonthaburi,528
Pathum Thani,440
Pattani,244
Phangnga,113
Phatthalung,140
Phayao,136
Phetchabun,248
Phetchaburi,205
Phichit,211
Phitsanulok,761
Phrae,138
Phuket,341
Prachin Buri,230
Prachuap Khiri Khan,254
Ranong,≤100
Ratchaburi,268
Rayong,462
Roi Et,287
Sa Kaeo,166
Sakon Nakhon,308
Samut Prakan,340
Samut Sakhon,477
Samut Songkhram,≤100
Saraburi,252
Satun,105
Sing Buri,≤100
Sisaket,365
Songkhla,2885
Sukhothai,244
Suphan Buri,294
Surat Thani,408
Surin,384
Tak,187
Trang,217
Trat,≤100
Ubon Ratchathani,500
Udon Thani,402
Unknown,≤100
Uthai Thani,≤100
Uttaradit,174
Yala Province,187
Yasothon,301
