Location name,Amount spent (NGN)
Abia State,923
Adamawa State,486
Akwa Ibom State,844
Anambra State,820
Bauchi State,157
Bayelsa State,970
Benué State,459
Borno State,658
Cross River State,528
Delta State,29768
Ebonyi State,187
Edo State,1411
Ekiti State,504
Enugu State,822
Federal Capital Territory,4928
Gombe State,109
Imo State,891
Jigawa State,≤100
Kaduna State,1511
Kano State,2313
Katsina State,263
Kebbi State,≤100
Kogi State,143
Kwara State,1295
Lagos State,18483
Nasarawa State,285
Niger State,587
Ogun State,977
Ondo State,903
Osun State,1161
Oyo State,5000
Plateau State,890
Rivers State,3479
Sokoto State,1169
Taraba State,304
Unknown,≤100
Yobe State,120
Zamfara State,≤100
