Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
564188034075673,Roberto Enriquez,an advertiser in Venezuela,52000000,2
108236238428619,Concejo Municipal de Maracaibo,an advertiser in Venezuela,14000000,1
106718764251730,José Jhonatan Mujica Acosta,an advertiser in Venezuela,1284988,2
227622537655549,CGTN en Español,These ads ran without a disclaimer,750000,1
672164393254350,porvenezuelaaa,These ads ran without a disclaimer,534875,1
101736596126028,kateryna_palanska,These ads ran without a disclaimer,228650,1
743132506065170,Descolonialidad del Poder y Autogobierno social,These ads ran without a disclaimer,131256,1
102446855386434,xose_gabriel_vazquez,These ads ran without a disclaimer,≤100,1
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100,1
801168856602067,Shadyside Church of Christ,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,1
100205232489461,Luis,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
106716758877874,rifa_dr_jgh,These ads ran without a disclaimer,≤100,1
450661968811498,WOM Oil,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
