Location name,Amount spent (NGN)
Abia State,6012
Adamawa State,5102
Akwa Ibom State,3509
Anambra State,16702
Bauchi State,4349
Bayelsa State,1011
Benué State,1818
Borno State,4406
Cross River State,1786
Delta State,30920
Ebonyi State,974
Edo State,8811
Ekiti State,1382
Enugu State,7552
Federal Capital Territory,39300
Gombe State,11178
Imo State,5647
Jigawa State,1527
Kaduna State,13523
Kano State,20329
Katsina State,4441
Kebbi State,1456
Kogi State,2333
Kwara State,7093
Lagos State,145290
Nasarawa State,2732
Niger State,4446
Ogun State,11218
Ondo State,2195
Osun State,3268
Oyo State,10528
Plateau State,4261
Rivers State,14716
Sokoto State,5428
Taraba State,2304
Unknown,≤100
Yobe State,1978
Zamfara State,2210
