Location name,Amount spent (EGP)
Al Sharqia Governorate,4784
Alexandria Governorate,8545
Aswan Governorate,783
Asyut Governorate,1826
Beheira Governorate,2887
Beni Suef Governorate,1305
Cairo Governorate,9490
Dakahlia Governorate,4997
Damietta Governorate,1586
Faiyum Governorate,1232
Gharbia Governorate,3630
Giza Governorate,3033
Ismailia Governorate,1240
Kafr el-Sheikh Governorate,2240
Luxor Governorate,571
Matrouh Governorate,314
Minya Governorate,1924
Monufia Governorate,2727
New Valley Governorate,477
North Sinai Governorate,406
Port Said Governorate,865
Qalyubia Governorate,2404
Qena Governorate,1348
Red Sea Governorate,496
Sohag Governorate,2305
South Sinai Governorate,204
Suez Governorate,692
Unknown,≤100
