Location name,Amount spent (NGN)
Abia State,1210
Adamawa State,1463
Akwa Ibom State,3268
Anambra State,1676
Bauchi State,1292
Bayelsa State,1120
Benué State,719
Borno State,1414
Cross River State,968
Delta State,2557
Ebonyi State,309
Edo State,3548
Ekiti State,434
Enugu State,1002
Federal Capital Territory,11170
Gombe State,2035
Imo State,629
Jigawa State,414
Kaduna State,3867
Kano State,5327
Katsina State,1018
Kebbi State,484
Kogi State,839
Kwara State,1429
Lagos State,15702
Nasarawa State,760
Niger State,4454
Ogun State,880
Ondo State,759
Osun State,1525
Oyo State,5592
Plateau State,2057
Rivers State,5862
Sokoto State,1286
Taraba State,539
Unknown,≤100
Yobe State,772
Zamfara State,735
