Location name,Amount spent (NGN)
Abia State,3413
Adamawa State,1399
Akwa Ibom State,2092
Anambra State,1894
Bauchi State,1306
Bayelsa State,1068
Benué State,1458
Borno State,1007
Cross River State,3586
Delta State,5313
Ebonyi State,538
Edo State,1650
Ekiti State,399
Enugu State,2419
Federal Capital Territory,12309
Gombe State,1544
Imo State,1855
Jigawa State,226
Kaduna State,5612
Kano State,8141
Katsina State,1007
Kebbi State,1087
Kogi State,1446
Kwara State,1867
Lagos State,16316
Nasarawa State,1049
Niger State,2775
Ogun State,1157
Ondo State,1320
Osun State,1089
Oyo State,4463
Plateau State,2614
Rivers State,8131
Sokoto State,990
Taraba State,1387
Unknown,≤100
Yobe State,603
Zamfara State,294
