Location name,Amount spent (NGN)
Abia State,10763
Adamawa State,3338
Akwa Ibom State,2856
Anambra State,12001
Bauchi State,3733
Bayelsa State,367
Benué State,2855
Borno State,3009
Cross River State,1003
Delta State,6858
Ebonyi State,1431
Edo State,6261
Ekiti State,937
Enugu State,10512
Federal Capital Territory,18314
Gombe State,9550
Imo State,2561
Jigawa State,1202
Kaduna State,9807
Kano State,17573
Katsina State,3005
Kebbi State,942
Kogi State,1503
Kwara State,4301
Lagos State,106220
Nasarawa State,2579
Niger State,3346
Ogun State,14817
Ondo State,1554
Osun State,2618
Oyo State,8322
Plateau State,4395
Rivers State,15725
Sokoto State,3216
Taraba State,1282
Unknown,≤100
Yobe State,1369
Zamfara State,1472
