Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
338645782840713,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",Ministère de l'Environnement et de la Lutte contre les changements climatiques,10215,2
10419173702,Maxime Bernier,People's Party of Canada,3038,11
6319213302,Heart & Stroke,Heart & Stroke,2404,18
163261390365324,Elementary Educators,Elementary Educators,2157,116
633812813408377,Elections Canada,Elections Canada,2120,30
1583430205202800,City of Toronto,City of Toronto - Your Local Government,1890,21
104386908631938,Pathways Alliance,Pathways Alliance,1736,6
118040041222760,Juan Luis Garrido,Juan Luis Garrido,1660,2
118314421234127,Manitoba Watch 2023,Canada Growth Council,1618,11
162936387068600,Ontario Public Service Employees Union (OPSEU),Ontario Public Service Employees Union (OPSEU/SEFPO),1595,4
43448349479,Josh Matlow,Josh Matlow Campaign,1523,7
177990002393,Ontario Nurses' Association,Ontario Nurses' Association,1509,6
249042335139282,BDC,BDC,1454,24
2157595277852262,Anthony Perruzza,Anthony Perruzza for Mayor,1165,2
27234020592,UNICEF Canada,UNICEF Canada,1160,9
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,989,139
167800183238142,YourAlberta (Government of Alberta),YourAlberta (Government of Alberta),979,5
922478954450376,CHBA National,CHBA National,976,12
120346357701928,Mountain Memoirs,These ads ran without a disclaimer,974,10
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,897,135
103223222015913,Nowly,nowly,870,9
172675656776719,PS j'ai la SP,Sophie Berriault,835,2
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,802,26
195608229977,BC NDP,BC NDP,801,14
154462904588700,Enbridge Gas,Enbridge Gas,786,73
110561408638361,Coalition of First Nations for Finfish Stewardship,Coalition of First Nations for Finfish Stewardship,783,10
186563811522,Centrale des syndicats du Québec (CSQ),Centrale des syndicats du Québec (CSQ),770,21
168106993245736,Canada Post,Canada Post,748,3
261752512263,Canadian Red Cross,Canadian Red Cross,720,13
182645321760265,Ville de Montréal,Ville de Montréal,714,2
24235835555,Kids Help Phone,Kids Help Phone,701,52
625254780822339,CUPE Manitoba,CUPE MB,638,6
189141609842,Ville de Gatineau,Ville de Gatineau,637,26
1097840090260804,National Police Federation,National Police Federation,635,95
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,631,12
439345863190331,Brad Bradford,Brad Bradford Campaign,618,7
160136850711053,CUPE Ontario,Sonya Yalda,616,4
268823146480333,Fondation INCA,INCA,591,16
